symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
BTCUSDT,14.0,2022-03-08T16:00:00+00:00,2022-03-08T18:00:00+00:00,19,1,38649.8,38000.0,649.8000000000029,47747.000000000044,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0178438596491228,0.682156140350875,BE,25
BTCUSDT,14.0,2022-03-28T00:00:00+00:00,2022-03-28T00:30:00+00:00,135,-1,46820.9,47047.0,226.09999999999854,43655.50000000002,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0621241486068116,-1.0621241486068116,SL,7
BTCUSDT,14.0,2022-03-29T12:00:00+00:00,2022-03-29T12:10:00+00:00,144,-1,47873.4,47972.2,98.79999999999563,46490.20000000006,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.145364574898792,-1.145364574898792,SL,3
BTCUSDT,14.0,2022-04-06T20:00:00+00:00,2022-04-07T00:10:00+00:00,194,1,43751.2,43100.0,651.1999999999971,52867.999999999956,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.020155651105651,-1.020155651105651,SL,51
BTCUSDT,14.0,2022-04-08T12:00:00+00:00,2022-04-08T12:05:00+00:00,204,1,43289.9,43238.3,51.599999999998545,44012.29999999998,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.251685465116286,0.4483145348837843,BE,2
BTCUSDT,14.0,2022-04-08T20:00:00+00:00,2022-04-08T22:20:00+00:00,206,1,42722.0,42298.2,423.8000000000029,48655.20000000004,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0302420953279847,-1.0302420953279847,SL,29
BTCUSDT,14.0,2022-04-11T00:00:00+00:00,2022-04-11T00:20:00+00:00,219,1,42140.3,41838.0,302.3000000000029,46372.500000000044,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.041819682434667,-1.041819682434667,SL,5
BTCUSDT,14.0,2022-04-14T16:00:00+00:00,2022-04-14T16:00:00+00:00,241,1,39943.2,39908.0,35.19999999999709,40435.999999999956,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.3404250000000282,-1.3404250000000282,SL,1
BTCUSDT,14.0,2022-04-18T00:00:00+00:00,2022-04-18T01:10:00+00:00,261,1,39649.1,39510.0,139.09999999999854,41596.49999999998,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.085512077641985,0.6144879223580411,BE,15
BTCUSDT,14.0,2022-04-18T08:00:00+00:00,2022-04-18T15:20:00+00:00,263,1,38902.2,38465.7,436.5,45013.2,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.026736907216495,0.6732630927835118,BE,89
BTCUSDT,14.0,2022-04-25T08:00:00+00:00,2022-04-25T11:20:00+00:00,305,1,38437.2,38111.0,326.1999999999971,43003.999999999956,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0353499693439612,0.6646500306560345,BE,41
BTCUSDT,14.0,2022-04-26T20:00:00+00:00,2022-04-26T20:10:00+00:00,314,1,38250.6,37782.2,468.40000000000146,44808.20000000002,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0244986763450041,-1.0244986763450041,SL,3
BTCUSDT,14.0,2022-05-01T00:00:00+00:00,2022-05-01T00:00:00+00:00,339,1,37614.4,37550.0,64.40000000000146,38516.00000000002,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.1752223602484433,0.524777639751568,BE,1
BTCUSDT,14.0,2022-05-05T16:00:00+00:00,2022-05-05T19:15:00+00:00,367,1,36886.5,35535.1,1351.4000000000015,55806.10000000002,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0081885082137043,-1.0081885082137043,SL,40
BTCUSDT,14.0,2022-05-13T08:00:00+00:00,2022-05-26T13:15:00+00:00,413,1,30172.4,27968.6,2203.800000000003,61025.60000000004,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0041073237135856,-1.0041073237135856,SL,3808
BTCUSDT,14.0,2022-06-11T16:00:00+00:00,2022-06-11T16:15:00+00:00,589,1,28392.6,28227.7,164.89999999999782,30701.199999999968,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0516542146755616,-1.0516542146755616,SL,4
BTCUSDT,14.0,2022-06-12T20:00:00+00:00,2022-06-12T23:40:00+00:00,596,1,27410.0,26850.0,560.0,35250.0,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0146839285714286,-1.0146839285714286,SL,45
BTCUSDT,14.0,2022-06-20T04:00:00+00:00,2022-06-20T12:30:00+00:00,640,1,19966.7,19363.8,602.9000000000015,28407.30000000002,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.009935329241997,0.6900646707580054,BE,103
BTCUSDT,14.0,2022-06-30T08:00:00+00:00,2022-06-30T08:20:00+00:00,701,1,19423.1,19300.0,123.09999999999854,21146.499999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0473349309504474,-1.0473349309504474,SL,5
BTCUSDT,14.0,2022-07-03T16:00:00+00:00,2022-07-03T18:20:00+00:00,721,1,19035.3,18780.1,255.20000000000073,22608.10000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,13.977623079937304,0.6776230799372999,BE,29
BTCUSDT,14.0,2022-07-12T20:00:00+00:00,2022-07-12T20:30:00+00:00,776,1,19383.7,19252.5,131.20000000000073,21220.50000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0443224847560972,0.6556775152438998,BE,7
BTCUSDT,14.0,2022-07-26T16:00:00+00:00,2022-07-26T17:05:00+00:00,859,1,20737.6,20689.6,48.0,21409.6,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,13.87039,5.37039,BE,14
