symbol,rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,n_trades,baseline_total_r,managed_total_r,delta_m_minus_b,win_pct,max_dd_r,avg_hold_h
BTCUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,715,-421.7317948506841,-421.7317948506841,0.0,6.853146853146853,447.4806098276455,43.00454545454546
BTCUSDT,7,35,60,2,7.0,1.0,0.8,6.5,5.5,716,-429.752549014924,-429.752549014924,0.0,12.70949720670391,461.99538362605733,24.058542830540038
BTCUSDT,7,35,60,2,0.7,1.0,0.8,6.5,5.5,716,-494.75254901492497,-494.75254901492497,0.0,53.770949720670394,501.5014912258202,2.547486033519553
BTCUSDT,7,35,60,2,1.0,1.0,0.8,6.5,5.5,716,-505.75254901492406,-505.75254901492406,0.0,45.391061452513966,518.4331925779105,3.658985102420856
ETHUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,683,-108.61046246433483,-108.61046246433483,0.0,6.44216691068814,243.5582063755104,37.67874572962421
ETHUSDT,7,35,60,2,1.0,1.0,0.8,6.5,5.5,683,-142.61046246433483,-142.61046246433483,0.0,45.827232796486086,153.9263795278485,4.296242069302098
ETHUSDT,7,35,60,2,0.7,1.0,0.8,6.5,5.5,683,-148.11046246433503,-148.11046246433503,0.0,53.440702781844806,159.02363779373064,3.2371888726207905
ETHUSDT,7,35,60,2,7.0,1.0,0.8,6.5,5.5,683,-192.6104624643348,-192.6104624643348,0.0,10.54172767203514,227.86848941465277,23.598462664714493
LINKUSDT,7,35,60,2,1.0,1.0,0.8,6.5,5.5,757,-152.41349022170255,-152.41349022170255,0.0,44.517833553500665,153.24624924038577,3.0288419198590932
LINKUSDT,7,35,60,2,0.7,1.0,0.8,6.5,5.5,757,-153.21349022170267,-153.21349022170267,0.0,52.3117569352708,153.4462492403859,2.125275209158961
LINKUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,756,-165.396183179449,-165.396183179449,0.0,5.82010582010582,187.8290941602575,43.64528218694885
LINKUSDT,7,35,60,2,7.0,1.0,0.8,6.5,5.5,757,-194.41349022170255,-194.41349022170255,0.0,10.435931307793924,200.69294318650523,22.21356230735359
SOLUSDT,7,35,60,2,0.7,1.0,0.8,6.5,5.5,798,-141.61687455858947,-141.61687455858947,0.0,52.130325814536334,145.52132675461482,2.5058479532163744
SOLUSDT,7,35,60,2,1.0,1.0,0.8,6.5,5.5,798,-166.8168745585894,-166.8168745585894,0.0,42.73182957393484,168.22132675461495,3.629490392648287
SOLUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,798,-263.81687455858946,-263.81687455858946,0.0,4.887218045112782,304.33636425412055,34.71867167919799
SOLUSDT,7,35,60,2,7.0,1.0,0.8,6.5,5.5,798,-296.8168745585894,-296.8168745585894,0.0,8.646616541353383,312.3072963603629,16.661131996658312
XRPUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,455,97.68538795837765,97.68538795837765,0.0,8.571428571428571,77.95930262031001,75.08186813186813
XRPUSDT,7,35,60,2,7.0,1.0,0.8,6.5,5.5,455,-7.314612041622334,-7.314612041622334,0.0,13.186813186813188,41.721448941756044,51.805128205128206
XRPUSDT,7,35,60,2,1.0,1.0,0.8,6.5,5.5,455,-47.314612041622304,-47.314612041622304,0.0,48.13186813186813,55.28134238400277,4.4783882783882785
XRPUSDT,7,35,60,2,0.7,1.0,0.8,6.5,5.5,455,-55.514612041621774,-55.514612041621774,0.0,55.604395604395606,58.12303550169051,3.0525641025641024
