symbol,rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,n_trades,baseline_total_r,managed_total_r,delta_m_minus_b,win_pct,max_dd_r,avg_hold_h
ETHUSDT,7,35,60,4,8.0,1.5,1.0,5.0,4.0,69,8.805992009706825,22.805992009706834,14.000000000000009,47.82608695652174,10.61678328150779,16.25845410628019
ETHUSDT,7,35,60,4,8.0,1.5,1.0,6.5,5.5,69,8.805992009706825,14.305992009706848,5.500000000000023,47.82608695652174,10.616783281507788,17.77536231884058
ETHUSDT,7,35,60,4,8.0,1.5,1.0,6.0,5.0,69,8.805992009706825,12.805992009706829,4.0000000000000036,47.82608695652174,10.616783281507788,17.842995169082126
ETHUSDT,7,35,60,4,8.0,1.5,1.0,8.0,6.5,69,8.805992009706825,7.805992009706829,-0.9999999999999964,47.82608695652174,10.61678328150779,19.1280193236715
ETHUSDT,7,35,60,4,8.0,1.5,1.0,10.0,8.0,69,8.805992009706825,7.805992009706829,-0.9999999999999964,47.82608695652174,10.61678328150779,19.1280193236715
ETHUSDT,7,35,60,4,8.0,1.5,1.0,12.0,9.0,69,8.805992009706825,7.805992009706829,-0.9999999999999964,47.82608695652174,10.61678328150779,19.1280193236715
LINKUSDT,7,35,60,4,8.0,1.5,1.0,6.0,5.0,98,-45.51870138222756,-22.518701382227555,23.000000000000007,37.755102040816325,26.608364272226826,5.284863945578232
LINKUSDT,7,35,60,4,8.0,1.5,1.0,5.0,4.0,98,-45.51870138222756,-25.51870138222755,20.00000000000001,37.755102040816325,27.60836427222683,5.396258503401361
LINKUSDT,7,35,60,4,8.0,1.5,1.0,6.5,5.5,98,-45.51870138222756,-30.01870138222755,15.50000000000001,37.755102040816325,31.93428005425975,5.403061224489797
LINKUSDT,7,35,60,4,8.0,1.5,1.0,8.0,6.5,98,-45.51870138222756,-34.518701382227555,11.000000000000007,37.755102040816325,36.434280054259766,5.520408163265308
LINKUSDT,7,35,60,4,8.0,1.5,1.0,10.0,8.0,98,-45.51870138222756,-34.518701382227555,11.000000000000007,37.755102040816325,36.434280054259766,5.520408163265308
LINKUSDT,7,35,60,4,8.0,1.5,1.0,12.0,9.0,98,-45.51870138222756,-34.518701382227555,11.000000000000007,37.755102040816325,36.434280054259766,5.520408163265308
XRPUSDT,7,35,60,4,8.0,1.5,1.0,6.5,5.5,90,10.94201933757101,8.942019337571002,-2.000000000000007,43.333333333333336,13.162555586186985,5.919444444444444
XRPUSDT,7,35,60,4,8.0,1.5,1.0,8.0,6.5,90,10.94201933757101,8.942019337571002,-2.000000000000007,43.333333333333336,13.162555586186985,5.919444444444444
XRPUSDT,7,35,60,4,8.0,1.5,1.0,10.0,8.0,90,10.94201933757101,8.942019337571002,-2.000000000000007,43.333333333333336,13.162555586186985,5.919444444444444
XRPUSDT,7,35,60,4,8.0,1.5,1.0,12.0,9.0,90,10.94201933757101,8.942019337571002,-2.000000000000007,43.333333333333336,13.162555586186985,5.919444444444444
XRPUSDT,7,35,60,4,8.0,1.5,1.0,6.0,5.0,90,10.94201933757101,5.942019337571002,-5.000000000000007,43.333333333333336,13.162555586186985,5.878703703703703
XRPUSDT,7,35,60,4,8.0,1.5,1.0,5.0,4.0,90,10.94201933757101,0.9420193375710018,-10.000000000000007,43.333333333333336,13.162555586186985,5.854629629629629
