symbol,rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,n_trades,baseline_total_r,managed_total_r,delta_m_minus_b,win_pct,max_dd_r,avg_hold_h
ETHUSDT,7,35,60,5,14.0,1.0,0.7,6.5,5.5,64,68.53796197375378,4.6379619737537405,-63.90000000000004,60.9375,7.5139790291559825,7.03125
ETHUSDT,7,35,60,5,14.0,1.0,0.8,6.5,5.5,64,68.53796197375378,3.737961973753813,-64.79999999999997,60.9375,6.558152267582633,6.18359375
ETHUSDT,7,35,60,4,14.0,1.0,0.8,6.5,5.5,69,62.80599200970683,3.4059920097067904,-59.400000000000034,60.86956521739131,6.558152267582633,5.5193236714975855
ETHUSDT,7,35,60,3,14.0,1.0,0.8,6.5,5.5,71,60.639272804124744,3.039272804124683,-57.60000000000006,60.56338028169014,6.593509021100386,4.381455399061034
ETHUSDT,7,35,60,4,14.0,0.9,0.7,6.5,5.5,69,62.80599200970683,0.9059920097068526,-61.89999999999998,62.31884057971014,7.513979029155983,4.992753623188406
ETHUSDT,7,35,60,3,14.0,0.9,0.7,6.5,5.5,71,60.639272804124744,0.43927280412478265,-60.19999999999996,61.97183098591549,7.566262673441606,4.185446009389673
ETHUSDT,7,35,60,5,14.0,0.9,0.7,6.5,5.5,64,68.53796197375378,-0.1620380262462735,-68.70000000000006,60.9375,7.5139790291559825,5.9296875
ETHUSDT,7,35,60,4,14.0,1.0,0.7,6.5,5.5,69,62.80599200970683,-0.794007990293149,-63.59999999999997,60.86956521739131,7.513979029155983,6.801932367149759
ETHUSDT,7,35,60,3,14.0,1.0,0.7,6.5,5.5,71,60.639272804124744,-1.260727195875218,-61.89999999999996,60.56338028169014,7.566262673441606,4.779342723004695
ETHUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,85,60.690938701977146,-6.509061298022913,-67.20000000000006,54.11764705882353,15.372187255906608,3.8
ETHUSDT,7,35,60,2,14.0,0.9,0.7,6.5,5.5,85,60.690938701977146,-9.409061298022792,-70.09999999999994,55.294117647058826,16.700904631472163,3.3568627450980397
ETHUSDT,7,35,60,2,14.0,1.0,0.7,6.5,5.5,85,60.690938701977146,-11.109061298022795,-71.79999999999994,54.11764705882353,17.07218725590656,4.291176470588236
LINKUSDT,7,35,60,3,14.0,1.0,0.8,6.5,5.5,99,-65.96956653677233,-29.969566536772273,36.00000000000006,45.45454545454545,30.70245225105797,2.4158249158249157
LINKUSDT,7,35,60,4,14.0,1.0,0.8,6.5,5.5,97,-62.50139433997404,-30.10139433997394,32.400000000000105,44.329896907216494,30.834280054259636,2.5601374570446738
LINKUSDT,7,35,60,5,14.0,1.0,0.8,6.5,5.5,94,-59.046109993353504,-30.246109993353457,28.800000000000047,43.61702127659575,30.978995707639157,3.3475177304964534
LINKUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,102,-70.0081100972116,-30.40811009721153,39.600000000000065,46.07843137254902,31.851337190807556,1.899509803921569
LINKUSDT,7,35,60,2,14.0,0.9,0.7,6.5,5.5,102,-70.0081100972116,-31.708110097211687,38.29999999999991,48.03921568627451,33.59629422205777,1.6470588235294124
LINKUSDT,7,35,60,5,14.0,0.9,0.7,6.5,5.5,94,-59.046109993353504,-32.64610999335358,26.39999999999992,44.680851063829785,33.923952738889284,3.171099290780141
LINKUSDT,7,35,60,4,14.0,0.9,0.7,6.5,5.5,97,-62.50139433997404,-32.70139433997415,29.79999999999989,45.36082474226804,33.979237085509865,2.2903780068728525
LINKUSDT,7,35,60,3,14.0,0.9,0.7,6.5,5.5,99,-65.96956653677233,-32.76956653677243,33.1999999999999,46.464646464646464,34.04740928230814,2.150673400673401
LINKUSDT,7,35,60,5,14.0,1.0,0.7,6.5,5.5,94,-59.046109993353504,-34.346109993353586,24.699999999999918,43.61702127659575,34.97899570763929,3.531028368794326
LINKUSDT,7,35,60,4,14.0,1.0,0.7,6.5,5.5,97,-62.50139433997404,-34.40139433997416,28.09999999999988,44.329896907216494,35.034280054259874,2.7396907216494846
LINKUSDT,7,35,60,3,14.0,1.0,0.7,6.5,5.5,99,-65.96956653677233,-34.46956653677244,31.499999999999893,45.45454545454545,35.102452251058146,2.5968013468013473
LINKUSDT,7,35,60,2,14.0,1.0,0.7,6.5,5.5,102,-70.0081100972116,-35.108110097211686,34.89999999999991,46.07843137254902,36.351337190807776,2.06781045751634
XRPUSDT,7,35,60,4,14.0,0.9,0.7,6.5,5.5,90,22.942019337571008,12.84201933757103,-10.099999999999978,60.0,7.8162284910430415,2.1999999999999997
XRPUSDT,7,35,60,5,14.0,0.9,0.7,6.5,5.5,76,7.6940065196372585,12.294006519637232,4.599999999999974,59.210526315789465,7.62722328801792,5.845394736842105
XRPUSDT,7,35,60,3,14.0,0.9,0.7,6.5,5.5,93,4.47576084199909,9.375760841999139,4.900000000000048,58.06451612903226,10.822362487709796,1.96415770609319
XRPUSDT,7,35,60,2,14.0,0.9,0.7,6.5,5.5,94,3.3372896113211024,8.237289611321135,4.900000000000032,57.446808510638306,10.829052011519334,1.7340425531914894
XRPUSDT,7,35,60,4,14.0,1.0,0.8,6.5,5.5,90,22.942019337571008,6.142019337571119,-16.79999999999989,55.55555555555556,12.88402162007863,2.8814814814814818
XRPUSDT,7,35,60,4,14.0,1.0,0.7,6.5,5.5,90,22.942019337571008,6.042019337571039,-16.89999999999997,55.55555555555556,12.916228491043032,3.761111111111111
XRPUSDT,7,35,60,5,14.0,1.0,0.7,6.5,5.5,76,7.6940065196372585,5.494006519637264,-2.199999999999995,53.94736842105263,12.72722328801791,7.254385964912283
XRPUSDT,7,35,60,5,14.0,1.0,0.8,6.5,5.5,76,7.6940065196372585,4.6940065196373455,-2.999999999999913,53.94736842105263,12.495016417053462,6.344298245614035
XRPUSDT,7,35,60,3,14.0,1.0,0.8,6.5,5.5,93,4.47576084199909,2.6757608419992227,-1.7999999999998675,53.76344086021505,17.642919322534567,2.773297491039427
XRPUSDT,7,35,60,3,14.0,1.0,0.7,6.5,5.5,93,4.47576084199909,2.575760841999145,-1.8999999999999453,53.76344086021505,15.922362487709787,3.646953405017921
XRPUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,94,3.3372896113211024,1.5372896113212573,-1.799999999999845,53.191489361702125,17.661924786585335,2.6684397163120566
XRPUSDT,7,35,60,2,14.0,1.0,0.7,6.5,5.5,94,3.3372896113211024,1.4372896113211457,-1.8999999999999566,53.191489361702125,15.929052011519325,3.401595744680851
