audit_scope,symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_price,stop_init,risk,baseline_r,managed_r,delta_r,managed_reason,hold_5m_bars
first_25_by_entry,XRPUSDT,8.0,2025-10-05T08:00:00+00:00,2025-10-05T08:00:00+00:00,3.0633,3.0674,0.0041000000000002,-1.2241439024390126,-1.2241439024390126,0.0,SL,1
first_25_by_entry,XRPUSDT,8.0,2025-10-07T20:00:00+00:00,2025-10-07T20:00:00+00:00,2.8557,2.8471,0.0085999999999999,-1.0996174418604658,0.600382558139529,1.6999999999999948,BE,1
first_25_by_entry,XRPUSDT,8.0,2025-10-09T04:00:00+00:00,2025-10-09T06:10:00+00:00,2.8433,2.823,0.0203000000000002,-1.0420192118226597,-1.0420192118226597,0.0,SL,27
first_25_by_entry,XRPUSDT,8.0,2025-10-10T16:00:00+00:00,2025-10-10T17:40:00+00:00,2.74,2.7111,0.0289000000000001,-1.0284429065743943,-1.0284429065743943,0.0,SL,21
first_25_by_entry,XRPUSDT,8.0,2025-10-14T08:00:00+00:00,2025-10-14T10:30:00+00:00,2.4517,2.4176,0.0341,-1.0215692082111436,-1.0215692082111436,0.0,SL,31
first_25_by_entry,XRPUSDT,8.0,2025-10-15T16:00:00+00:00,2025-10-15T16:00:00+00:00,2.4326,2.4231,0.0095,-1.0768189473684204,0.6231810526315794,1.6999999999999997,BE,1
first_25_by_entry,XRPUSDT,8.0,2025-10-16T16:00:00+00:00,2025-10-16T16:50:00+00:00,2.354,2.3294,0.0245999999999999,-1.0287073170731709,0.6712926829268311,1.700000000000002,BE,11
first_25_by_entry,XRPUSDT,8.0,2025-10-25T16:00:00+00:00,2025-10-25T18:35:00+00:00,2.5966,2.6193,0.0226999999999999,-1.0343162995594717,-1.0343162995594717,0.0,SL,32
first_25_by_entry,XRPUSDT,8.0,2025-10-27T00:00:00+00:00,2025-10-27T00:30:00+00:00,2.6449,2.6628,0.0179,-1.044327932960894,-1.044327932960894,0.0,SL,7
first_25_by_entry,XRPUSDT,8.0,2025-10-27T16:00:00+00:00,2025-10-27T16:00:00+00:00,2.6601,2.6747,0.0146000000000001,-1.0546595890410952,-1.0546595890410952,0.0,SL,1
first_25_by_entry,XRPUSDT,8.0,2025-10-30T16:00:00+00:00,2025-10-30T16:05:00+00:00,2.4525,2.4431,0.0094000000000002,-1.0782712765957423,0.6217287234042389,1.699999999999981,BE,2
first_25_by_entry,XRPUSDT,8.0,2025-11-03T04:00:00+00:00,2025-11-03T04:00:00+00:00,2.4285,2.4244,0.0041000000000002,-1.1776951219512102,-1.1776951219512102,0.0,SL,1
first_25_by_entry,XRPUSDT,8.0,2025-11-06T16:00:00+00:00,2025-11-06T16:00:00+00:00,2.2332,2.2266,0.0066000000000001,-1.1015090909090883,0.5984909090909049,1.699999999999993,BE,1
first_25_by_entry,XRPUSDT,8.0,2025-11-10T12:00:00+00:00,2025-11-10T14:45:00+00:00,2.54,2.5725,0.0324999999999997,-1.023446153846154,0.676553846153846,1.6999999999999997,BE,34
first_25_by_entry,XRPUSDT,8.0,2025-11-16T16:00:00+00:00,2025-11-16T16:00:00+00:00,2.1855,2.1813,0.0042000000000004,-1.156107142857127,-1.156107142857127,0.0,SL,1
