symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
XRPUSDT,0.5,2024-03-11T20:00:00+00:00,2024-03-11T20:45:00+00:00,46,-1,0.7316,0.7455,0.013900000000000023,0.72465,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,0.4842100719424461,0.4842100719424461,TP,10
XRPUSDT,0.5,2024-04-12T20:00:00+00:00,2024-04-13T19:55:00+00:00,238,1,0.5364,0.4907,0.04569999999999996,0.55925,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0035212253829322,-1.0035212253829322,SL,288
XRPUSDT,0.5,2024-04-13T20:00:00+00:00,2024-04-13T20:05:00+00:00,244,1,0.4916,0.4686,0.022999999999999965,0.5031,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0064121739130434,-1.0064121739130434,SL,2
XRPUSDT,0.5,2024-04-14T12:00:00+00:00,2024-04-14T12:45:00+00:00,248,1,0.4823,0.4636,0.018699999999999994,0.49165000000000003,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,0.4922625668449212,0.4922625668449212,TP,10
XRPUSDT,0.5,2024-06-07T20:00:00+00:00,2024-06-17T14:25:00+00:00,574,1,0.4929,0.4475,0.045399999999999996,0.5156000000000001,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,0.49674295154185144,0.49674295154185144,TP,2814
XRPUSDT,0.5,2024-07-04T16:00:00+00:00,2024-07-04T18:15:00+00:00,735,1,0.4444,0.4377,0.006700000000000039,0.44775000000000004,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0198985074626865,-1.0198985074626865,SL,28
XRPUSDT,0.5,2024-07-13T08:00:00+00:00,2024-07-13T08:00:00+00:00,787,-1,0.5151,0.5157,0.0006000000000000449,0.5147999999999999,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.2575499999999806,-1.2575499999999806,SL,1
XRPUSDT,0.5,2024-07-17T08:00:00+00:00,2024-07-17T08:15:00+00:00,811,-1,0.6088,0.6176,0.00880000000000003,0.6044,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,0.4792454545454483,0.4792454545454483,TP,4
XRPUSDT,0.5,2024-07-18T00:00:00+00:00,2024-07-18T01:05:00+00:00,815,-1,0.6256,0.6376,0.0119999999999999,0.6196000000000002,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,0.48435999999999524,0.48435999999999524,TP,14
XRPUSDT,0.5,2024-08-05T04:00:00+00:00,2024-08-05T06:20:00+00:00,924,1,0.473,0.4497,0.023299999999999987,0.48464999999999997,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0060901287553647,-1.0060901287553647,SL,29
