tf_rule,bar_start_utc,bar_end_utc,hour_utc,weekday,weekday_name,event,atr,atr_roc_1,d_atr,close,fwd_range_pct_48m,fwd_range_pct_192m,fwd_range_pct_288m
1h,2022-03-01T14:00:00+00:00,2022-03-01T15:00:00+00:00,15,1,Tuesday,expand,0.012763265306122453,0.11818344359020205,0.0013489795918367343,0.7818,2.5837810181632124,3.210539779994885,4.221028396009213
1h,2022-03-01T20:00:00+00:00,2022-03-01T21:00:00+00:00,21,1,Tuesday,contract,0.012386212277752521,-0.042152994597101645,-0.0005450932521348113,0.7833,2.5660666411336663,3.6384527001149087,4.212945231711992
1h,2022-03-01T23:00:00+00:00,2022-03-02T00:00:00+00:00,0,2,Wednesday,contract,0.011567750865241358,-0.03939833590225672,-0.0004744423742493401,0.7836,2.641653905053591,3.6498213374170447,3.6498213374170447
1h,2022-03-03T04:00:00+00:00,2022-03-03T05:00:00+00:00,5,3,Thursday,expand,0.01044883089016756,0.11905368801938931,0.0011116283930640274,0.7704,1.8691588785046689,5.438733125649006,6.710799584631356
1h,2022-03-03T15:00:00+00:00,2022-03-03T16:00:00+00:00,16,3,Thursday,expand,0.00999496256008128,0.10273352532127933,0.0009311567261475855,0.7488,2.4839743589743524,4.821047008547011,4.821047008547011
1h,2022-03-04T00:00:00+00:00,2022-03-04T01:00:00+00:00,1,4,Friday,expand,0.01046084002470842,0.1308850692082686,0.0012107046134839684,0.731,2.790697674418601,3.228454172366615,7.441860465116281
1h,2022-03-04T07:00:00+00:00,2022-03-04T08:00:00+00:00,8,4,Friday,contract,0.00946592617986304,-0.042528789429195135,-0.00042045585998946346,0.7373,2.87535602875356,7.378272073782721,7.378272073782721
1h,2022-03-04T22:00:00+00:00,2022-03-04T23:00:00+00:00,23,4,Friday,expand,0.011093593599317246,0.11183695696214935,0.0011158774154371408,0.7125,2.259649122807018,9.094736842105274,9.094736842105274
1h,2022-03-05T05:00:00+00:00,2022-03-05T06:00:00+00:00,6,5,Saturday,contract,0.009516287463111445,-0.04711068729144818,-0.0004704836510085759,0.7195,2.4739402362751965,7.18554551772065,7.18554551772065
1h,2022-03-05T06:00:00+00:00,2022-03-05T07:00:00+00:00,7,5,Saturday,contract,0.009136552644317777,-0.03990367254726768,-0.0003797348187936679,0.7202,2.5965009719522274,6.831435712302142,6.831435712302142
1h,2022-03-05T20:00:00+00:00,2022-03-05T21:00:00+00:00,21,5,Saturday,contract,0.009745379523321957,-0.04482501208924827,-0.0004573368864093791,0.7514,2.182592494011175,4.351876497205211,4.351876497205211
1h,2022-03-06T23:00:00+00:00,2022-03-07T00:00:00+00:00,0,0,Monday,expand,0.009625094187234534,0.10290674409645173,0.0008980696779050338,0.7248,2.6766004415011,6.5121412803532035,7.146799116997801
1h,2022-03-07T06:00:00+00:00,2022-03-07T07:00:00+00:00,7,0,Monday,expand,0.011135027546701107,0.1213488702040757,0.0012049978810229952,0.7467,2.3704298915226913,6.830052229811175,6.830052229811175
1h,2022-03-08T03:00:00+00:00,2022-03-08T04:00:00+00:00,4,1,Tuesday,contract,0.01071950947753022,-0.04272429508658271,-0.0004784238059638672,0.7274,2.2271102557052505,2.502062139125652,5.2378333791586495
1h,2022-03-08T21:00:00+00:00,2022-03-08T22:00:00+00:00,22,1,Tuesday,contract,0.008595015386282637,-0.041970387940727716,-0.00037653964509866064,0.7179,1.6994010307842304,6.101128290848316,8.093049171193766
1h,2022-03-08T22:00:00+00:00,2022-03-08T23:00:00+00:00,23,1,Tuesday,contract,0.008173942858691023,-0.04899031690666111,-0.00042107252759161426,0.7185,1.8928322894919896,6.054279749478077,8.044537230340982
1h,2022-03-09T03:00:00+00:00,2022-03-09T04:00:00+00:00,4,2,Wednesday,expand,0.008653797275376258,0.15557997743454144,0.0011650925172787532,0.7434,1.4527845036319658,4.560129136400329,5.138552596179716
1h,2022-03-10T07:00:00+00:00,2022-03-10T08:00:00+00:00,8,3,Thursday,contract,0.01009229197724836,-0.04437467650271909,-0.00046863784440373014,0.7378,1.3553808620222294,3.2122526429926883,4.09325020330713
1h,2022-03-10T13:00:00+00:00,2022-03-10T14:00:00+00:00,14,3,Thursday,expand,0.009954361642790488,0.11498807621050999,0.001026587565939192,0.7272,1.5264026402640263,3.4515951595159535,3.8641364136413663
1h,2022-03-10T18:00:00+00:00,2022-03-10T19:00:00+00:00,19,3,Thursday,contract,0.008563961997673241,-0.039379986790821,-0.000351073999821018,0.7308,1.9841269841269933,3.379857690202525,3.639846743295013
1h,2022-03-11T17:00:00+00:00,2022-03-11T18:00:00+00:00,18,4,Friday,contract,0.007971755582041202,-0.044899078593442,-0.00037475042938778583,0.7285,12.27179135209333,17.03500343170899,17.03500343170899
1h,2022-03-11T20:00:00+00:00,2022-03-11T21:00:00+00:00,21,4,Friday,expand,0.010085257658070163,0.2571082069025612,0.0020626724878407606,0.7649,7.778794613675004,10.968754085501384,10.968754085501384
1h,2022-03-11T21:00:00+00:00,2022-03-11T22:00:00+00:00,22,4,Friday,expand,0.012879167825350868,0.27702913123345296,0.002793910167280705,0.8079,7.488550563188514,8.763460824359463,8.763460824359463
1h,2022-03-12T18:00:00+00:00,2022-03-12T19:00:00+00:00,19,5,Saturday,contract,0.013425024715083212,-0.04500688997098112,-0.0006326942088525564,0.789,3.2319391634981085,3.2319391634981085,3.7135614702154616
1h,2022-03-12T19:00:00+00:00,2022-03-12T20:00:00+00:00,20,5,Saturday,contract,0.01284466580686298,-0.04322963424925319,-0.0005803589082202312,0.7899,3.228256741359675,3.228256741359675,3.709330294974046
1h,2022-03-13T04:00:00+00:00,2022-03-13T05:00:00+00:00,5,6,Sunday,contract,0.011101913991971775,-0.04183793431199412,-0.00048476261476705813,0.7959,1.382083176278428,3.3798215856263254,7.588893077019727
1h,2022-03-13T16:00:00+00:00,2022-03-13T17:00:00+00:00,17,6,Sunday,contract,0.00924744546813327,-0.040294385748024686,-0.00038826503601025256,0.7833,1.5192135835567497,6.089620834929155,6.089620834929155
1h,2022-03-13T22:00:00+00:00,2022-03-13T23:00:00+00:00,23,6,Sunday,expand,0.010523689389704086,0.2651981193684305,0.0022058700469458417,0.7593,2.5418148294481737,4.17489793230608,4.385618332674832
1h,2022-03-15T10:00:00+00:00,2022-03-15T11:00:00+00:00,11,1,Tuesday,contract,0.00802232429044028,-0.04594463075691413,-0.00038633263772617533,0.7514,1.7567207878626552,5.0838434921479925,5.0838434921479925
1h,2022-03-16T02:00:00+00:00,2022-03-16T03:00:00+00:00,3,2,Wednesday,expand,0.008368973845452748,0.14685008249226428,0.0010716173965036341,0.7744,2.4276859504132284,3.254132231404959,5.423553719008269
1h,2022-03-16T07:00:00+00:00,2022-03-16T08:00:00+00:00,8,2,Wednesday,contract,0.008003079457219625,-0.043249446823567905,-0.0003617753428630417,0.764,1.269633507853394,4.947643979057599,5.497382198952884
1h,2022-03-17T11:00:00+00:00,2022-03-17T12:00:00+00:00,12,3,Thursday,contract,0.007627270619840198,-0.039961262025749233,-0.0003174823553723184,0.7879,1.434192156365018,2.5764690950628233,3.376062952151283
1h,2022-03-17T23:00:00+00:00,2022-03-18T00:00:00+00:00,0,4,Friday,contract,0.006876513712874622,-0.04053306212584873,-0.00029050105483651063,0.7931,2.3326188374732015,3.1269701172613713,3.1269701172613713
1h,2022-03-18T00:00:00+00:00,2022-03-18T01:00:00+00:00,1,4,Friday,expand,0.007706762733383575,0.12073691047172797,0.000830249020508953,0.7855,1.1203055378739695,2.2915340547421903,3.068109484404839
1h,2022-03-18T06:00:00+00:00,2022-03-18T07:00:00+00:00,7,4,Friday,contract,0.006771765049315176,-0.042128036965999205,-0.0002978280807165506,0.7914,1.5036643922163282,2.982057113975228,5.964114227950456
1h,2022-03-19T05:00:00+00:00,2022-03-19T06:00:00+00:00,6,5,Saturday,expand,0.006882633929916447,0.2937866418132902,0.0015628743130833506,0.8195,1.9768151311775464,2.464917632702867,2.464917632702867
1h,2022-03-20T03:00:00+00:00,2022-03-20T04:00:00+00:00,4,6,Sunday,contract,0.007210641533934805,-0.040047950064205584,-0.0003008185795334486,0.814,0.7862407862407815,2.702702702702692,3.7960687960687878
1h,2022-03-20T04:00:00+00:00,2022-03-20T05:00:00+00:00,5,6,Sunday,contract,0.006895595710082321,-0.04369178836166121,-0.00031504582385248354,0.8136,0.7866273352998968,2.7040314650934008,3.797935103244829
1h,2022-03-21T02:00:00+00:00,2022-03-21T03:00:00+00:00,3,0,Monday,expand,0.007553837113973822,0.14380463588736592,0.0009497048373866236,0.7939,2.090943443758653,5.27774278876432,7.784355712306332
1h,2022-03-21T17:00:00+00:00,2022-03-21T18:00:00+00:00,18,0,Monday,expand,0.007987216047588324,0.15858760826873408,0.0010932910732624366,0.8313,4.2223024178996775,5.485384337784191,5.485384337784191
1h,2022-03-21T19:00:00+00:00,2022-03-21T20:00:00+00:00,20,0,Monday,expand,0.009445099551236874,0.11087257689073438,0.00094268464990486,0.8467,2.621944017952049,3.862052675091526,4.535254517538679
1h,2022-03-23T09:00:00+00:00,2022-03-23T10:00:00+00:00,10,2,Wednesday,contract,0.00781437946555824,-0.039832960152063945,-0.00032418303581216966,0.824,1.092233009708739,2.7912621359223326,3.2888349514563124
1h,2022-03-24T04:00:00+00:00,2022-03-24T05:00:00+00:00,5,3,Thursday,contract,0.007923695422359635,-0.04117680296947379,-0.00034028426325842867,0.8331,1.020285679990405,2.700756211739283,2.700756211739283
1h,2022-03-25T21:00:00+00:00,2022-03-25T22:00:00+00:00,22,4,Friday,contract,0.006369177828104622,-0.03909988261370356,-0.00025916752523881623,0.8282,0.9538758753924194,1.7387104564114908,1.7387104564114908
1h,2022-03-26T05:00:00+00:00,2022-03-26T06:00:00+00:00,6,5,Saturday,contract,0.005311521589639022,-0.03912427831692189,-0.00021627089151068923,0.828,1.002415458937195,1.256038647342991,2.258454106280186
1h,2022-03-27T00:00:00+00:00,2022-03-27T01:00:00+00:00,1,6,Sunday,expand,0.0046528008057458575,0.11930594546977646,0.0004959383995580113,0.84,1.3571428571428532,2.500000000000002,5.130952380952385
1h,2022-03-27T16:00:00+00:00,2022-03-27T17:00:00+00:00,17,6,Sunday,expand,0.005486538005943563,0.13014201561811856,0.0006318047687735757,0.8421,1.531884574278592,4.928155800973754,8.027550172188576
1h,2022-03-28T00:00:00+00:00,2022-03-28T01:00:00+00:00,1,0,Monday,expand,0.006970262975701484,0.13007306235384197,0.0008022874634075758,0.862,1.5777262180974545,5.220417633410677,7.238979118329468
1h,2022-03-28T13:00:00+00:00,2022-03-28T14:00:00+00:00,14,0,Monday,expand,0.008936019425982275,0.2878353764049142,0.001997229274924443,0.8937,2.5847599865726765,6.982208794897618,6.982208794897618
