ts,event_side,gap_low,gap_high,gap_bps,atr,structure_regime,vol_regime,regime_bias,range_pos,trend_alignment,range_zone,high_vol_size_bucket,mfe_r_fast,mae_r_fast,hit_outcome_fast,hit_outcome_slow,full_fill_fast,full_fill_slow
2022-03-03 16:00:00+00:00,bearish,42761.4,43310.0,129.34987892606085,526.779136199713,BALANCE,NORMAL_VOL,bearish,0.03931411530815037,other,edge,other,3.80064406962572,0.5465288585211783,plus,plus,0,0
2022-03-04 01:00:00+00:00,bearish,41686.5,42362.1,162.7857666062682,523.1357159490343,IMBALANCE,NORMAL_VOL,bearish,0.0009302325581400989,trend_aligned,other,other,5.699094726482907,0.7361378477120004,plus,plus,0,0
2022-03-04 20:00:00+00:00,bearish,39888.7,40552.0,168.1053490599996,542.6675009780977,IMBALANCE,HIGH_VOL,bearish,0.0,trend_aligned,other,high_vol_regular,1.7255501726420779,0.31068748302803434,plus,plus,0,0
2022-03-06 10:00:00+00:00,bearish,38720.0,39087.5,96.10330516918104,351.3221266652732,IMBALANCE,HIGH_VOL,bearish,0.0,trend_aligned,other,high_vol_regular,2.021506606319304,3.1307450243461203,minus,minus,1,1
2022-03-06 11:00:00+00:00,bearish,38359.1,38555.0,51.10759204714771,347.877689046325,IMBALANCE,NORMAL_VOL,bearish,0.14522012578616444,trend_aligned,other,other,2.3025334053352733,2.9007321589560813,minus,minus,1,1
2022-03-07 00:00:00+00:00,bearish,38524.0,38918.7,102.8092155815733,428.98008612055276,IMBALANCE,NORMAL_VOL,bearish,0.21101956097867772,trend_aligned,other,other,2.9313715034469343,2.700591560034412,plus,plus,1,1
2022-03-07 03:00:00+00:00,bearish,37950.0,38261.0,82.16905159476654,444.7158342590575,IMBALANCE,NORMAL_VOL,bearish,0.15336447159061872,trend_aligned,other,other,1.6073185277761326,3.8253641290609135,minus,minus,1,1
2022-03-07 14:00:00+00:00,bullish,38749.0,38830.5,20.987304612056757,432.40520747216266,BALANCE,NORMAL_VOL,bearish,0.7575722341724316,other,other,other,1.6581668944080858,3.929184872523484,plus,plus,1,1
2022-03-07 19:00:00+00:00,bearish,38020.0,38502.0,129.2616798118465,521.7368315619264,BALANCE,HIGH_VOL,bearish,0.0,other,edge,high_vol_regular,0.29650963980608935,3.9326339945322975,minus,minus,1,1
2022-03-09 04:00:00+00:00,bullish,39500.0,41194.9,407.12254270835376,594.9347153757863,BALANCE,HIGH_VOL,bullish,1.0,other,edge,high_vol_large,1.7082546601068056,3.8343702948299017,plus,plus,1,1
2022-03-10 02:00:00+00:00,bearish,41067.6,41735.1,163.96543338459043,506.6105610778888,BALANCE,HIGH_VOL,bullish,0.0,other,edge,high_vol_regular,4.9539038322853886,0.4149143664766197,plus,plus,0,0
2022-03-10 05:00:00+00:00,bearish,39536.9,40500.0,245.73391031005656,593.4110796968374,BALANCE,HIGH_VOL,neutral,0.0,other,edge,high_vol_large,1.6728706860464353,1.846780482359495,both,both,0,0
2022-03-11 02:00:00+00:00,bearish,38724.2,39101.9,98.74251653551656,502.8022386831186,BALANCE,HIGH_VOL,bearish,0.0,other,edge,high_vol_regular,0.03898152890355579,3.9598073493359864,minus,minus,1,1
2022-03-11 12:00:00+00:00,bullish,39139.9,39710.0,142.8961728088707,513.3659517465967,BALANCE,NORMAL_VOL,neutral,0.8480424021201054,other,other,other,0.08161819041065617,3.134411221713178,minus,minus,1,1
2022-03-11 14:00:00+00:00,bearish,39596.9,39710.0,28.77525785785851,528.0410502304841,BALANCE,NORMAL_VOL,bearish,0.5409177726627157,other,middle,other,1.92712289992573,0.005681376473837656,plus,plus,0,0
2022-03-12 01:00:00+00:00,bullish,38930.0,39040.6,28.236543601971594,457.82922329418443,BALANCE,NORMAL_VOL,bearish,0.4512020460358049,other,middle,other,0.8940014729837409,1.160257958585285,minus,minus,1,1
2022-03-13 23:00:00+00:00,bearish,37869.7,38631.1,201.72903027525163,328.96238564134376,BALANCE,NORMAL_VOL,bearish,0.13538888888888728,other,edge,other,0.6736332470594414,6.8254004044340055,minus,minus,1,1
2022-03-14 05:00:00+00:00,bullish,38159.4,38427.4,69.71342061384227,344.6630469493886,BALANCE,NORMAL_VOL,bearish,0.5962571916292598,other,middle,other,4.485250199238813,0.12504966918117996,plus,plus,0,1
2022-03-14 08:00:00+00:00,bullish,38764.4,38928.0,41.88417336361109,355.59337250284534,BALANCE,NORMAL_VOL,neutral,0.9304031488549593,other,edge,other,2.612253410298216,2.7736737416052475,minus,minus,1,1
2022-03-14 23:00:00+00:00,bullish,38768.7,39312.0,137.01082872259477,398.6418911635361,BALANCE,NORMAL_VOL,bullish,0.8347954657466746,other,other,other,0.6221122403271516,3.9634570149874984,minus,minus,1,1
2022-03-15 02:00:00+00:00,bearish,39099.9,39359.1,66.51423820411483,424.0464048419425,BALANCE,NORMAL_VOL,bullish,0.3581497797356819,other,middle,other,2.11132552894466,6.685353224623309,plus,plus,1,1
2022-03-15 08:00:00+00:00,bearish,38470.8,38707.1,61.62006263706633,390.8487591278841,BALANCE,NORMAL_VOL,bearish,0.14311821219715903,other,edge,other,0.20135665820101542,8.842550780285775,minus,minus,1,1
2022-03-16 02:00:00+00:00,bullish,39419.1,39458.5,9.64084193423709,546.3398522878323,BALANCE,HIGH_VOL,bullish,1.0,other,edge,high_vol_regular,1.1088336270238575,3.9678599152564193,minus,minus,1,1
2022-03-16 04:00:00+00:00,bearish,39199.0,39458.5,66.38424582892051,641.6894644726718,BALANCE,NORMAL_VOL,bullish,0.23939003195604633,other,other,other,0.21147300604586483,3.713634291874036,minus,minus,1,1
2022-03-16 09:00:00+00:00,bullish,39659.9,40209.0,135.61976081920128,612.7356565204453,BALANCE,NORMAL_VOL,bullish,0.6092070092070083,other,middle,other,1.6486718036561607,1.9881330342644243,plus,plus,1,1
2022-03-16 20:00:00+00:00,bullish,40575.0,40750.0,42.44729259040061,680.6855832912677,BALANCE,NORMAL_VOL,bullish,0.8143041237113398,other,other,other,0.397834193418089,1.1529552252382242,minus,minus,1,1
2022-03-18 01:00:00+00:00,bearish,40530.0,40866.0,82.92221846549472,371.66144739606005,BALANCE,NORMAL_VOL,bullish,0.26334412406835966,other,other,other,1.1723034580331433,4.850920138829319,minus,minus,1,1
2022-03-18 16:00:00+00:00,bullish,40796.6,40874.2,18.75021142313103,347.61237682438167,BALANCE,NORMAL_VOL,bullish,1.0,other,edge,other,2.694380472169403,0.19101736424517568,plus,plus,0,1
2022-03-18 17:00:00+00:00,bullish,41086.0,41319.8,56.154947303698556,349.0829213369256,BALANCE,NORMAL_VOL,bullish,1.0,other,edge,other,1.970878430159465,0.3861546691649733,plus,plus,0,1
2022-03-21 03:00:00+00:00,bearish,40967.0,41156.0,46.31070316309453,332.74348622160585,BALANCE,NORMAL_VOL,bearish,0.2501804343547033,other,other,other,0.4037945311137281,5.075080564838855,minus,minus,1,1
