event_type,event_side,combined_regime,count
FVG,bearish,BALANCE__NORMAL_VOL,1673
FVG,bearish,IMBALANCE__NORMAL_VOL,328
FVG,bearish,BALANCE__HIGH_VOL,144
FVG,bearish,IMBALANCE__HIGH_VOL,78
FVG,bearish,BALANCE__LOW_VOL,31
FVG,bearish,IMBALANCE__LOW_VOL,2
FVG,bullish,BALANCE__NORMAL_VOL,1786
FVG,bullish,IMBALANCE__NORMAL_VOL,385
FVG,bullish,BALANCE__HIGH_VOL,130
FVG,bullish,IMBALANCE__HIGH_VOL,43
FVG,bullish,BALANCE__LOW_VOL,41
FVG,bullish,IMBALANCE__LOW_VOL,3
ORDER_BLOCK_PROXY,bearish,BALANCE__NORMAL_VOL,608
ORDER_BLOCK_PROXY,bearish,IMBALANCE__NORMAL_VOL,138
ORDER_BLOCK_PROXY,bearish,BALANCE__HIGH_VOL,128
ORDER_BLOCK_PROXY,bearish,IMBALANCE__HIGH_VOL,49
ORDER_BLOCK_PROXY,bullish,BALANCE__NORMAL_VOL,675
ORDER_BLOCK_PROXY,bullish,IMBALANCE__NORMAL_VOL,163
ORDER_BLOCK_PROXY,bullish,BALANCE__HIGH_VOL,62
ORDER_BLOCK_PROXY,bullish,IMBALANCE__HIGH_VOL,23
