event_type,event_side,combined_regime,count
FVG,bearish,BALANCE__NORMAL_VOL,2001
FVG,bearish,IMBALANCE__NORMAL_VOL,422
FVG,bearish,BALANCE__HIGH_VOL,134
FVG,bearish,IMBALANCE__HIGH_VOL,73
FVG,bearish,BALANCE__LOW_VOL,44
FVG,bearish,IMBALANCE__LOW_VOL,3
FVG,bullish,BALANCE__NORMAL_VOL,1945
FVG,bullish,IMBALANCE__NORMAL_VOL,437
FVG,bullish,BALANCE__HIGH_VOL,100
FVG,bullish,IMBALANCE__HIGH_VOL,67
FVG,bullish,BALANCE__LOW_VOL,64
FVG,bullish,IMBALANCE__LOW_VOL,13
ORDER_BLOCK_PROXY,bearish,BALANCE__NORMAL_VOL,583
ORDER_BLOCK_PROXY,bearish,IMBALANCE__NORMAL_VOL,164
ORDER_BLOCK_PROXY,bearish,BALANCE__HIGH_VOL,131
ORDER_BLOCK_PROXY,bearish,IMBALANCE__HIGH_VOL,59
ORDER_BLOCK_PROXY,bullish,BALANCE__NORMAL_VOL,590
ORDER_BLOCK_PROXY,bullish,IMBALANCE__NORMAL_VOL,188
ORDER_BLOCK_PROXY,bullish,BALANCE__HIGH_VOL,70
ORDER_BLOCK_PROXY,bullish,IMBALANCE__HIGH_VOL,35
