event_type,event_side,combined_regime,count
FVG,bearish,BALANCE__NORMAL_VOL,2067
FVG,bearish,IMBALANCE__NORMAL_VOL,405
FVG,bearish,BALANCE__HIGH_VOL,205
FVG,bearish,BALANCE__LOW_VOL,94
FVG,bearish,IMBALANCE__HIGH_VOL,66
FVG,bearish,IMBALANCE__LOW_VOL,12
FVG,bullish,BALANCE__NORMAL_VOL,2183
FVG,bullish,IMBALANCE__NORMAL_VOL,459
FVG,bullish,BALANCE__HIGH_VOL,129
FVG,bullish,BALANCE__LOW_VOL,76
FVG,bullish,IMBALANCE__HIGH_VOL,49
FVG,bullish,IMBALANCE__LOW_VOL,20
ORDER_BLOCK_PROXY,bearish,BALANCE__NORMAL_VOL,603
ORDER_BLOCK_PROXY,bearish,BALANCE__HIGH_VOL,154
ORDER_BLOCK_PROXY,bearish,IMBALANCE__NORMAL_VOL,126
ORDER_BLOCK_PROXY,bearish,IMBALANCE__HIGH_VOL,42
ORDER_BLOCK_PROXY,bullish,BALANCE__NORMAL_VOL,740
ORDER_BLOCK_PROXY,bullish,IMBALANCE__NORMAL_VOL,175
ORDER_BLOCK_PROXY,bullish,BALANCE__HIGH_VOL,61
ORDER_BLOCK_PROXY,bullish,IMBALANCE__HIGH_VOL,24
