event_type,event_side,combined_regime,count
FVG,bearish,BALANCE__NORMAL_VOL,529
FVG,bearish,IMBALANCE__NORMAL_VOL,103
FVG,bearish,BALANCE__HIGH_VOL,37
FVG,bearish,IMBALANCE__HIGH_VOL,23
FVG,bearish,BALANCE__LOW_VOL,11
FVG,bearish,IMBALANCE__LOW_VOL,1
FVG,bullish,BALANCE__NORMAL_VOL,516
FVG,bullish,IMBALANCE__NORMAL_VOL,111
FVG,bullish,IMBALANCE__HIGH_VOL,19
FVG,bullish,BALANCE__LOW_VOL,18
FVG,bullish,BALANCE__HIGH_VOL,17
ORDER_BLOCK_PROXY,bearish,BALANCE__NORMAL_VOL,162
ORDER_BLOCK_PROXY,bearish,BALANCE__HIGH_VOL,39
ORDER_BLOCK_PROXY,bearish,IMBALANCE__NORMAL_VOL,32
ORDER_BLOCK_PROXY,bearish,IMBALANCE__HIGH_VOL,19
ORDER_BLOCK_PROXY,bullish,BALANCE__NORMAL_VOL,140
ORDER_BLOCK_PROXY,bullish,IMBALANCE__NORMAL_VOL,36
ORDER_BLOCK_PROXY,bullish,IMBALANCE__HIGH_VOL,10
ORDER_BLOCK_PROXY,bullish,BALANCE__HIGH_VOL,2
