ts,event_type,event_side,event_strength_bps,notes,structure_regime,vol_regime,combined_regime,regime_bias,close,atr_pct,hour_utc,weekday
2022-03-02 07:00:00+00:00,FVG,bearish,20.65373154698335,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bullish,43963.0,1.1506740566737303,7,Wednesday
2022-03-03 04:00:00+00:00,FVG,bearish,21.550384384259598,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,43433.1,1.139156383957781,4,Thursday
2022-03-03 14:00:00+00:00,ORDER_BLOCK_PROXY,bearish,128.72876885261454,prev bull candle + down displacement close < prev low,BALANCE,HIGH_VOL,BALANCE__HIGH_VOL,bearish,43409.1,1.103354541565307,14,Thursday
2022-03-03 16:00:00+00:00,FVG,bearish,129.34987892606085,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,42412.1,1.242049170401166,16,Thursday
2022-03-03 23:00:00+00:00,FVG,bullish,52.320993180131346,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,42449.5,1.1192512749888566,23,Thursday
2022-03-04 01:00:00+00:00,FVG,bearish,162.7857666062682,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,41502.4,1.2604950941368072,1,Friday
2022-03-04 20:00:00+00:00,FVG,bearish,168.1053490599996,high[i] < low[i-2],IMBALANCE,HIGH_VOL,IMBALANCE__HIGH_VOL,bearish,39457.4,1.3753250365662655,20,Friday
2022-03-04 21:00:00+00:00,FVG,bearish,6.0941701644664175,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,39381.9,1.360374311316197,21,Friday
2022-03-05 17:00:00+00:00,FVG,bullish,28.068857526439754,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,39403.1,0.8969424699511266,17,Saturday
2022-03-06 09:00:00+00:00,FVG,bearish,11.61238930728973,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,38665.6,0.855164792340523,9,Sunday
2022-03-06 10:00:00+00:00,FVG,bearish,96.10330516918104,high[i] < low[i-2],IMBALANCE,HIGH_VOL,IMBALANCE__HIGH_VOL,bearish,38240.1,0.9187270082067599,10,Sunday
2022-03-06 11:00:00+00:00,FVG,bearish,51.10759204714771,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,38330.9,0.9075646255275116,11,Sunday
2022-03-06 13:00:00+00:00,FVG,bullish,28.467735708218207,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,38851.0,0.9468872107516597,13,Sunday
2022-03-06 17:00:00+00:00,FVG,bullish,6.054138362714344,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,38981.6,0.9535885187173466,17,Sunday
2022-03-07 00:00:00+00:00,FVG,bearish,102.8092155815733,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,38391.5,1.1173829783169522,0,Monday
2022-03-07 03:00:00+00:00,FVG,bearish,82.16905159476654,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,37848.8,1.1749800106187185,3,Monday
2022-03-07 12:00:00+00:00,FVG,bullish,6.4561963928275174,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,38567.6,1.0754868630348624,12,Monday
2022-03-07 13:00:00+00:00,FVG,bullish,28.360865083312877,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,38997.4,1.1079975163256006,13,Monday
2022-03-07 14:00:00+00:00,FVG,bullish,20.987304612056757,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,38833.0,1.1134993625837886,14,Monday
2022-03-07 18:00:00+00:00,FVG,bearish,42.49041792342318,high[i] < low[i-2],BALANCE,HIGH_VOL,BALANCE__HIGH_VOL,bearish,37961.5,1.303976121934667,18,Monday
2022-03-07 19:00:00+00:00,FVG,bearish,129.2616798118465,high[i] < low[i-2],BALANCE,HIGH_VOL,BALANCE__HIGH_VOL,bearish,37288.7,1.3991821424772823,19,Monday
