ts,event_type,event_side,event_strength_bps,notes,structure_regime,vol_regime,combined_regime,regime_bias,close,atr_pct,hour_utc,weekday
2022-03-02 11:00:00+00:00,FVG,bullish,16.330166270783696,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bullish,0.13472,1.3905855993935845,11,Wednesday
2022-03-02 22:00:00+00:00,FVG,bullish,19.50195019502027,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.13332,1.3814519337824354,22,Wednesday
2022-03-03 14:00:00+00:00,ORDER_BLOCK_PROXY,bearish,125.75757575757535,prev bull candle + down displacement close < prev low,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.132,1.1494668480282875,14,Thursday
2022-03-03 16:00:00+00:00,FVG,bearish,136.18677042801352,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.1285,1.3074448680145743,16,Thursday
2022-03-03 23:00:00+00:00,FVG,bullish,11.578541103819644,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.12955,1.1718300283837082,23,Thursday
2022-03-04 00:00:00+00:00,ORDER_BLOCK_PROXY,bearish,257.2830905636481,prev bull candle + down displacement close < prev low,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.12632,1.3562706631131947,0,Friday
2022-03-04 01:00:00+00:00,FVG,bearish,158.7805652588125,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.12596,1.3979570794231522,1,Friday
2022-03-04 06:00:00+00:00,ORDER_BLOCK_PROXY,bullish,93.85598233299348,prev bear candle + up displacement close > prev high,IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.12679,1.2851730217258204,6,Friday
2022-03-04 07:00:00+00:00,FVG,bullish,31.505986137367003,low[i] > high[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.12696,1.2514133453281229,7,Friday
2022-03-04 18:00:00+00:00,ORDER_BLOCK_PROXY,bearish,111.02236421725257,prev bull candle + down displacement close < prev low,IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.1252,1.3043432056362898,18,Friday
2022-03-04 19:00:00+00:00,FVG,bearish,43.7778678556962,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.12335,1.3717928087866258,19,Friday
2022-03-04 20:00:00+00:00,FVG,bearish,135.12413512413582,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.12285,1.390044978504444,20,Friday
2022-03-05 00:00:00+00:00,ORDER_BLOCK_PROXY,bearish,100.60196256287612,prev bull candle + down displacement close < prev low,IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.12127,1.4633197766771513,0,Saturday
2022-03-05 17:00:00+00:00,FVG,bullish,59.95683108162129,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.12509,0.9937943192382724,17,Saturday
2022-03-06 10:00:00+00:00,FVG,bearish,69.74645113645717,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.12187,0.9457307651023287,10,Sunday
2022-03-07 00:00:00+00:00,FVG,bearish,63.24373803777954,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.12017,1.170932254613666,0,Monday
2022-03-07 03:00:00+00:00,FVG,bearish,44.56777665657608,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.11892,1.1775344937960914,3,Monday
2022-03-07 13:00:00+00:00,FVG,bullish,32.8461159467891,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.12178,0.9892210682775117,13,Monday
2022-03-07 18:00:00+00:00,FVG,bearish,21.17926126736701,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.11804,1.1562202816778946,18,Monday
2022-03-07 19:00:00+00:00,FVG,bearish,99.82638888888874,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.1152,1.3332360780260188,19,Monday
2022-03-07 20:00:00+00:00,FVG,bearish,94.19287936398268,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.11572,1.421321385642539,20,Monday
2022-03-08 14:00:00+00:00,ORDER_BLOCK_PROXY,bearish,127.95359549603356,prev bull candle + down displacement close < prev low,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.11723,1.2845929165327932,14,Tuesday
2022-03-08 15:00:00+00:00,FVG,bearish,23.138229496957106,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.11669,1.2956837768365583,15,Tuesday
2022-03-08 17:00:00+00:00,ORDER_BLOCK_PROXY,bullish,159.93194385367985,prev bear candle + up displacement close > prev high,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.11755,1.3717859723747945,17,Tuesday
