ts,event_type,event_side,event_strength_bps,notes,structure_regime,vol_regime,combined_regime,regime_bias,close,atr_pct,hour_utc,weekday
2022-03-04 20:00:00+00:00,FVG,bearish,109.51979780960444,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7122,2.9466387475153546,20,Friday
2022-03-05 08:00:00+00:00,FVG,bullish,14.976174268209528,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7345,2.6754955508145097,8,Saturday
2022-03-05 12:00:00+00:00,FVG,bullish,115.98787399499035,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.7587,2.730890175577807,12,Saturday
2022-03-05 16:00:00+00:00,FVG,bullish,123.63733049720932,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7522,2.7372130218731217,16,Saturday
2022-03-07 00:00:00+00:00,FVG,bearish,62.63919821826364,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7184,2.723081838953068,0,Monday
2022-03-07 08:00:00+00:00,FVG,bullish,60.524546065905305,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7435,2.7419834266675576,8,Monday
2022-03-07 20:00:00+00:00,FVG,bearish,101.5016685205796,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7192,3.0541640335749953,20,Monday
2022-03-09 04:00:00+00:00,FVG,bullish,213.3902373966393,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.7498,2.544018586235063,4,Wednesday
2022-03-10 08:00:00+00:00,FVG,bearish,192.38641015145313,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7329,2.615337848023103,8,Thursday
2022-03-12 00:00:00+00:00,FVG,bullish,726.4695054607918,low[i] > high[i-2],BALANCE,HIGH_VOL,BALANCE__HIGH_VOL,bullish,0.8149,2.9831313207955725,0,Saturday
2022-03-13 12:00:00+00:00,FVG,bearish,16.573176950535032,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bullish,0.7844,2.6783235923017155,12,Sunday
2022-03-14 00:00:00+00:00,FVG,bearish,231.30503351294598,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,0.7609,2.8279130598785605,0,Monday
