ts,event_side,gap_low,gap_high,gap_bps,atr,structure_regime,vol_regime,regime_bias,premium_discount_zone,eq50,leg_high,leg_low,aligned_to_bias,mfe_r_fast,mae_r_fast,hit_outcome_fast,full_fill_fast,full_fill_slow
2022-03-21 20:00:00+00:00,bullish,0.8178,0.8325,175.60625970612884,0.01575149767651732,IMBALANCE,NORMAL_VOL,bullish,premium,0.7941,0.8477,0.7405,True,1.7839573466015306,1.3586009685862168,plus,1,1
2022-03-28 00:00:00+00:00,bullish,0.8487,0.8534,53.99195864445764,0.01212708058564334,IMBALANCE,NORMAL_VOL,bullish,premium,0.8256,0.8652,0.786,True,3.4550772301788206,8.03985751652591,plus,1,1
2022-03-28 04:00:00+00:00,bullish,0.8581,0.8635,62.25501498731924,0.012310860543811667,IMBALANCE,NORMAL_VOL,bullish,premium,0.82945,0.8729,0.786,True,3.6553090533236774,7.668026102972324,plus,1,1
2022-03-31 16:00:00+00:00,bearish,0.8242,0.8636,485.161925871198,0.02247370415702901,BALANCE,NORMAL_VOL,neutral,discount,0.8427,0.9124,0.773,False,2.482901777566905,1.7665089707778836,minus,0,0
2022-04-04 04:00:00+00:00,bearish,0.839,0.8397,8.400336013440944,0.017373370362980613,BALANCE,NORMAL_VOL,bearish,discount,0.8427,0.9124,0.773,True,4.708355275398982,0.3798917459368332,plus,1,1
2022-04-06 12:00:00+00:00,bearish,0.7997,0.8066,88.52963818321808,0.018894013485289914,BALANCE,NORMAL_VOL,bearish,discount,0.8427,0.9124,0.773,True,1.7942191068294224,0.7462681240794958,plus,0,0
2022-04-06 16:00:00+00:00,bearish,0.7809,0.7865,72.37947524880364,0.01930158395062635,BALANCE,NORMAL_VOL,bearish,discount,0.83885,0.9124,0.7653,True,1.461019990490723,1.0258225465147592,plus,1,1
2022-04-08 12:00:00+00:00,bearish,0.7769,0.7778,11.668611435239361,0.017761488460901344,IMBALANCE,NORMAL_VOL,bearish,discount,0.8186,0.8857,0.7515,True,5.191006384569701,0.14075396921284772,plus,0,1
2022-04-11 00:00:00+00:00,bearish,0.7555,0.7585,40.639393118396136,0.013950264386667391,IMBALANCE,NORMAL_VOL,bearish,discount,0.7986500000000001,0.8518,0.7455,True,4.236478848134466,3.7131912746762414,plus,1,1
2022-04-11 04:00:00+00:00,bearish,0.7441,0.7519,104.97981157469756,0.013596674073334007,IMBALANCE,NORMAL_VOL,bearish,discount,0.79135,0.8518,0.7309,True,4.699678734325298,3.993623713206008,plus,1,1
2022-04-11 12:00:00+00:00,bearish,0.7144,0.7351,294.1176470588227,0.015302744481599224,IMBALANCE,NORMAL_VOL,bearish,discount,0.7777000000000001,0.8518,0.7036,True,1.614089553001453,6.110015109539929,plus,1,1
2022-04-14 04:00:00+00:00,bullish,0.7248,0.7293,61.38316737143567,0.015494059586837718,BALANCE,NORMAL_VOL,bearish,discount,0.74865,0.8182,0.6791,False,4.317783833543015,1.6522461306233316,minus,1,1
2022-04-15 04:00:00+00:00,bullish,0.7296,0.7632,432.04320432043164,0.020837231306189995,BALANCE,NORMAL_VOL,neutral,premium,0.7363,0.7935,0.6791,False,1.0701997627379396,2.495533079030159,plus,1,1
2022-04-18 20:00:00+00:00,bullish,0.7497,0.7562,84.49239568438776,0.017758964213873747,BALANCE,NORMAL_VOL,bullish,premium,0.73955,0.8,0.6791,True,0.720762756535111,3.1420751417702393,minus,1,1
2022-04-20 16:00:00+00:00,bearish,0.7561,0.7604,57.51738897806273,0.015366138947427733,BALANCE,NORMAL_VOL,neutral,premium,0.7460500000000001,0.8,0.6921,False,3.5077126521117936,1.3731491087116658,minus,1,1
2022-04-22 00:00:00+00:00,bearish,0.7353,0.7434,110.73137388926857,0.015642028012011092,BALANCE,NORMAL_VOL,bearish,discount,0.75375,0.8,0.7075,True,5.581117738247542,0.434726238488921,plus,0,0
2022-04-25 04:00:00+00:00,bearish,0.6795,0.6968,265.622600951942,0.01474590571152649,IMBALANCE,NORMAL_VOL,bearish,discount,0.7272000000000001,0.7859,0.6685,True,1.715730487834575,3.7366304300270823,minus,1,1
2022-04-25 08:00:00+00:00,bearish,0.6656,0.6685,43.62870467880267,0.01514262673213174,IMBALANCE,NORMAL_VOL,bearish,discount,0.71505,0.7859,0.6442,True,3.480241633915056,2.753815486418561,minus,1,1
2022-04-25 20:00:00+00:00,bullish,0.6727,0.6833,153.0464914813753,0.015353189114611301,BALANCE,NORMAL_VOL,bearish,discount,0.71315,0.7821,0.6442,False,0.8988360592045903,6.1550730141183765,minus,1,1
2022-04-26 16:00:00+00:00,bearish,0.6591,0.6739,229.27962819519806,0.017504605867219337,IMBALANCE,NORMAL_VOL,bearish,discount,0.71315,0.7821,0.6442,True,2.7078587406966643,0.9825985303793799,plus,0,0
2022-04-29 12:00:00+00:00,bearish,0.6254,0.6343,143.5020960980332,0.015214006160887906,IMBALANCE,NORMAL_VOL,bearish,discount,0.69035,0.7687,0.612,True,3.8977242005099337,0.6835806355025901,plus,0,1
2022-04-29 20:00:00+00:00,bearish,0.6148,0.6162,22.90575916230296,0.015352893067296204,IMBALANCE,NORMAL_VOL,bearish,discount,0.67375,0.7494,0.5981,True,3.2762554770309706,1.2636054921352107,minus,1,1
2022-05-01 00:00:00+00:00,bearish,0.5937,0.6023,145.5160744500836,0.017516394380860528,IMBALANCE,NORMAL_VOL,bearish,discount,0.6437999999999999,0.7267,0.5609,True,0.38249880964776367,3.767898721903387,minus,1,1
2022-05-03 20:00:00+00:00,bearish,0.6061,0.6133,119.12640635340807,0.015046186285939575,BALANCE,NORMAL_VOL,bearish,discount,0.63365,0.7064,0.5609,True,2.385986675809539,3.4959024832195422,minus,1,1
2022-05-04 20:00:00+00:00,bullish,0.6213,0.6383,263.28016106551047,0.015551131886566403,BALANCE,NORMAL_VOL,neutral,premium,0.6117999999999999,0.6627,0.5609,False,0.7266352110203181,5.832372888455132,minus,1,1
2022-05-05 16:00:00+00:00,bearish,0.6052,0.6344,491.91374663072787,0.017998969758803808,BALANCE,NORMAL_VOL,bearish,discount,0.60905,0.6572,0.5609,True,7.000400672286802,1.2445156750732078,minus,0,0
2022-05-09 08:00:00+00:00,bearish,0.5533,0.5574,76.46400596792229,0.015861259362361418,IMBALANCE,HIGH_VOL,bearish,discount,0.60385,0.657,0.5507,True,12.653471922680914,0.7313416756507121,plus,0,0
2022-05-09 12:00:00+00:00,bearish,0.5478,0.5507,55.11212466742709,0.016771169407907027,IMBALANCE,HIGH_VOL,bearish,discount,0.5908,0.657,0.5246,True,11.370703816878239,0.6320370239061875,plus,0,0
2022-05-09 20:00:00+00:00,bearish,0.5132,0.5192,123.25390304026305,0.020723610356817794,IMBALANCE,NORMAL_VOL,bearish,discount,0.5623,0.657,0.4676,True,7.300851415121511,2.4127070109456437,minus,1,1
2022-05-10 08:00:00+00:00,bullish,0.5087,0.5137,95.49274255156617,0.022423276951140186,IMBALANCE,NORMAL_VOL,bearish,discount,0.5623,0.657,0.4676,False,0.588673993937755,8.388604413612942,minus,1,1
