ts,event_side,gap_low,gap_high,gap_bps,gap_size,atr,regime_bias,structure_regime,close,aligned,r_stop_anchor,reason_stop_anchor,r_tp_anchor,reason_tp_anchor
2022-03-03 15:00:00+00:00,bearish,15.112,15.164,35.4006399346447,0.0519999999999996,0.25476816587188,bearish,BALANCE,14.689,True,1.0,tp,0.20410713333058175,tp
2022-03-03 16:00:00+00:00,bearish,14.836,14.979,97.61092150170573,0.1429999999999989,0.2543561540238886,bearish,BALANCE,14.65,True,-1.0,sl,0.5622038143671916,tp
2022-03-04 01:00:00+00:00,bearish,14.501,14.841,237.39701159055988,0.33999999999999986,0.26797523940469564,bearish,BALANCE,14.322,True,1.0,tp,-1.0,sl
2022-03-04 20:00:00+00:00,bearish,13.856,13.956,72.57947452460418,0.09999999999999964,0.2360098722214601,bearish,IMBALANCE,13.778,True,1.0,tp,0.42371108911140953,tp
2022-03-05 01:00:00+00:00,bearish,13.627,13.635,5.895357406042092,0.007999999999999119,0.23481538660737092,bearish,IMBALANCE,13.57,True,-1.0,sl,0.03406931766944094,tp
2022-03-06 10:00:00+00:00,bearish,13.593,13.737,106.65086653829071,0.14400000000000013,0.17032016465303942,bearish,IMBALANCE,13.502,True,-1.0,sl,-1.0,sl
2022-03-07 00:00:00+00:00,bearish,13.316,13.718,305.1001821493619,0.40199999999999925,0.20415414387923136,bearish,BALANCE,13.176,True,1.0,tp,1.969100368777257,tp
2022-03-07 03:00:00+00:00,bearish,12.901,13.089,146.6001247660641,0.1880000000000006,0.2090713025155507,bearish,IMBALANCE,12.824,True,-1.0,sl,-1.0,sl
2022-03-07 19:00:00+00:00,bearish,12.993,13.254,207.75292525670557,0.26099999999999923,0.23904938398650702,bearish,BALANCE,12.563,True,-1.0,sl,-1.0,sl
2022-03-07 20:00:00+00:00,bearish,12.697,12.937,192.06145966709366,0.2400000000000002,0.2421887137017565,bearish,BALANCE,12.496,True,-1.0,sl,-1.0,sl
2022-03-08 21:00:00+00:00,bearish,12.962,13.026,49.62009613893631,0.06400000000000006,0.2389197740344697,bearish,BALANCE,12.898,True,-1.0,sl,-1.0,sl
2022-03-09 04:00:00+00:00,bullish,13.401,13.73,236.4355012576361,0.3290000000000006,0.2362888571054243,bullish,BALANCE,13.915,True,1.0,tp,1.392363584259967,tp
2022-03-13 23:00:00+00:00,bearish,12.757,13.015,203.21361058601207,0.2580000000000009,0.14609349203555544,bearish,BALANCE,12.696,True,-1.0,sl,-1.0,sl
2022-03-14 18:00:00+00:00,bearish,12.921,13.071,117.12344811431277,0.15000000000000036,0.15788773136505155,bearish,BALANCE,12.807,True,-1.0,sl,-1.0,sl
2022-03-16 15:00:00+00:00,bullish,14.044,14.093,34.65346534653429,0.04899999999999949,0.18468144846478385,bullish,IMBALANCE,14.14,True,-1.0,both_sl_first,0.26532172238915125,tp
2022-03-16 20:00:00+00:00,bullish,14.161,14.381,150.39649986327635,0.22000000000000064,0.23178763879044997,bullish,IMBALANCE,14.628,True,0.0,time,-1.0,sl
2022-03-17 09:00:00+00:00,bullish,14.374,14.456,55.74439157035959,0.08199999999999896,0.21866134016865657,bullish,IMBALANCE,14.71,True,-1.0,sl,0.3750091348418112,tp
2022-03-18 06:00:00+00:00,bullish,14.248,14.389,97.49014727235016,0.14100000000000001,0.17133908169057946,bullish,BALANCE,14.463,True,1.0,tp,0.8229295885607198,tp
2022-03-18 09:00:00+00:00,bullish,14.497,14.528,21.298522844383772,0.031000000000000583,0.17409036533316444,bullish,BALANCE,14.555,True,-1.0,both_sl_first,0.17806844129871602,tp
2022-03-20 18:00:00+00:00,bearish,14.585,14.604,13.069197963955393,0.01899999999999835,0.16045077589939308,bearish,BALANCE,14.538,True,-1.0,sl,0.11841637968713717,tp
2022-03-22 03:00:00+00:00,bullish,15.179,15.421,155.81739746313764,0.2419999999999991,0.17380318355595817,bullish,BALANCE,15.531,True,0.0,time,1.3923795585832008,tp
2022-03-22 05:00:00+00:00,bullish,15.592,15.627,22.27454973588757,0.03500000000000014,0.1758098878620251,bullish,BALANCE,15.713,True,-1.0,sl,-1.0,sl
