regime,start,end,bars,hours,days
BALANCE__NORMAL_VOL,2022-03-04 08:00:00+00:00,2022-03-04 16:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__HIGH_VOL,2022-03-04 16:00:00+00:00,2022-03-04 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-03-04 20:00:00+00:00,2022-03-07 16:00:00+00:00,17,68.0,2.8333333333333335
BALANCE__HIGH_VOL,2022-03-07 16:00:00+00:00,2022-03-07 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-03-07 20:00:00+00:00,2022-03-12 00:00:00+00:00,25,100.0,4.166666666666667
BALANCE__HIGH_VOL,2022-03-12 00:00:00+00:00,2022-03-12 04:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-03-12 04:00:00+00:00,2022-03-13 20:00:00+00:00,10,40.0,1.6666666666666667
BALANCE__HIGH_VOL,2022-03-13 20:00:00+00:00,2022-03-14 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-03-14 00:00:00+00:00,2022-03-19 12:00:00+00:00,33,132.0,5.5
IMBALANCE__NORMAL_VOL,2022-03-19 12:00:00+00:00,2022-03-20 04:00:00+00:00,4,16.0,0.6666666666666666
BALANCE__NORMAL_VOL,2022-03-20 04:00:00+00:00,2022-03-21 12:00:00+00:00,8,32.0,1.3333333333333333
IMBALANCE__NORMAL_VOL,2022-03-21 12:00:00+00:00,2022-03-22 12:00:00+00:00,6,24.0,1.0
BALANCE__NORMAL_VOL,2022-03-22 12:00:00+00:00,2022-03-26 20:00:00+00:00,26,104.0,4.333333333333333
BALANCE__LOW_VOL,2022-03-26 20:00:00+00:00,2022-03-27 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-03-27 00:00:00+00:00,2022-03-28 00:00:00+00:00,6,24.0,1.0
IMBALANCE__NORMAL_VOL,2022-03-28 00:00:00+00:00,2022-03-28 20:00:00+00:00,5,20.0,0.8333333333333334
BALANCE__NORMAL_VOL,2022-03-28 20:00:00+00:00,2022-03-29 00:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-03-29 00:00:00+00:00,2022-03-29 12:00:00+00:00,3,12.0,0.5
BALANCE__NORMAL_VOL,2022-03-29 12:00:00+00:00,2022-04-07 04:00:00+00:00,40,160.0,6.666666666666667
IMBALANCE__NORMAL_VOL,2022-04-07 04:00:00+00:00,2022-04-07 20:00:00+00:00,4,16.0,0.6666666666666666
BALANCE__NORMAL_VOL,2022-04-07 20:00:00+00:00,2022-04-08 04:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__NORMAL_VOL,2022-04-08 04:00:00+00:00,2022-04-09 16:00:00+00:00,9,36.0,1.5
BALANCE__NORMAL_VOL,2022-04-09 16:00:00+00:00,2022-04-10 12:00:00+00:00,5,20.0,0.8333333333333334
BALANCE__LOW_VOL,2022-04-10 12:00:00+00:00,2022-04-10 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-04-10 16:00:00+00:00,2022-04-11 00:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__NORMAL_VOL,2022-04-11 00:00:00+00:00,2022-04-12 20:00:00+00:00,11,44.0,1.8333333333333333
BALANCE__NORMAL_VOL,2022-04-12 20:00:00+00:00,2022-04-13 00:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-04-13 00:00:00+00:00,2022-04-13 12:00:00+00:00,3,12.0,0.5
