symbol,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,win_pct,max_dd_r,delta_vs_stage1_r,delta_vs_base_r
BTCUSDT,2.0,1.4,5.5,5.0,193.5980231516794,42.02453987730061,24.8092949039465,-4.199999999999903,-49.79999999999984
BTCUSDT,2.0,1.4,6.0,5.0,191.19802315167942,42.02453987730061,24.809294903946505,-6.599999999999881,-52.19999999999982
BTCUSDT,2.0,1.4,6.0,5.5,189.6980231516795,42.02453987730061,24.309294903946494,-8.099999999999795,-53.69999999999973
BTCUSDT,2.0,1.4,6.5,6.0,184.79802315167933,42.02453987730061,24.81314720595351,-12.999999999999972,-58.59999999999991
BTCUSDT,2.0,1.4,7.0,6.5,181.8980231516792,42.02453987730061,22.813147205953513,-15.900000000000091,-61.50000000000003
BTCUSDT,2.0,1.4,6.5,5.5,180.79802315167944,42.02453987730061,25.313147205953495,-16.999999999999858,-62.599999999999795
BTCUSDT,2.0,1.4,7.0,5.0,180.39802315167933,42.02453987730061,22.813147205953513,-17.399999999999977,-62.999999999999915
BTCUSDT,2.0,1.4,6.5,5.0,179.79802315167933,42.02453987730061,25.813147205953513,-17.99999999999997,-63.59999999999991
BTCUSDT,2.0,1.4,7.0,6.0,178.39802315167933,42.02453987730061,22.813147205953513,-19.399999999999977,-64.99999999999991
BTCUSDT,2.0,1.4,7.0,5.5,176.8980231516794,42.02453987730061,22.81314720595351,-20.899999999999892,-66.49999999999983
