symbol,mfe1_r,lock1_r,total_r,win_pct,max_dd_r,delta_vs_base_r
LINKUSDT,2.0,1.6,173.50165343619796,41.66666666666667,19.41260242228509,24.800000000000182
LINKUSDT,1.0,1.0,172.68030227340708,49.201277955271564,11.837311548763978,23.978648837209306
LINKUSDT,1.75,1.6,172.3016534361979,42.30769230769231,19.412602422285076,23.600000000000136
LINKUSDT,1.5,1.4,171.08030227340691,44.08945686900959,18.33495267445332,22.37864883720914
LINKUSDT,1.0,0.8,169.2803022734072,49.201277955271564,12.359661800932045,20.578648837209414
LINKUSDT,1.25,1.2,168.680302273407,46.96485623003195,17.412602422285147,19.97864883720922
LINKUSDT,2.0,1.4,166.10165343619764,41.66666666666667,20.734952674453282,17.399999999999864
LINKUSDT,1.25,1.0,164.70165343619777,46.794871794871796,12.012602422285113,16.0
LINKUSDT,1.75,1.4,164.30165343619763,42.30769230769231,20.734952674453282,15.599999999999852
LINKUSDT,1.25,0.8,163.1016534361979,46.794871794871796,13.973446761039163,14.40000000000012
LINKUSDT,2.0,0.8,155.9016534361979,41.66666666666667,19.37344676103917,7.200000000000131
LINKUSDT,1.75,0.8,152.3016534361979,42.30769230769231,19.37344676103917,3.6000000000001364
LINKUSDT,1.5,1.2,148.88030227340695,44.08945686900959,20.33495267445325,0.178648837209181
LINKUSDT,1.5,0.8,146.9016534361979,43.91025641025641,17.13495267445319,-1.7999999999998693
LINKUSDT,1.5,1.0,146.70165343619777,43.91025641025641,15.334952674453234,-2.0
LINKUSDT,2.0,1.0,146.70165343619777,41.66666666666667,17.334952674453234,-2.0
LINKUSDT,2.0,1.2,145.90165343619765,41.66666666666667,22.534952674453223,-2.800000000000125
LINKUSDT,1.75,1.0,143.70165343619777,42.30769230769231,17.334952674453234,-5.0
LINKUSDT,1.75,1.2,143.50165343619767,42.30769230769231,22.534952674453223,-5.200000000000102
