symbol,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,win_pct,max_dd_r,delta_vs_stage1_r,delta_vs_base_r
SOLUSDT,1.0,0.8,6.5,6.0,249.0569082218774,53.96825396825397,8.412235727078393,15.599999999999966,49.799999999999955
SOLUSDT,1.0,0.8,6.5,5.5,248.5569082218774,53.96825396825397,8.412235727078393,15.099999999999966,49.299999999999955
SOLUSDT,1.0,0.8,6.5,5.0,246.0569082218774,53.96825396825397,8.412235727078393,12.599999999999966,46.799999999999955
SOLUSDT,1.0,0.8,6.0,5.5,242.9569082218774,53.96825396825397,8.412235727078393,9.499999999999972,43.69999999999996
SOLUSDT,1.0,0.8,6.0,5.0,242.45690822187743,53.96825396825397,8.412235727078393,9.0,43.19999999999999
SOLUSDT,1.0,0.8,5.5,5.0,237.05690822187745,53.96825396825397,8.412235727078393,3.6000000000000227,37.80000000000001
SOLUSDT,1.0,0.8,7.0,5.5,235.05690822187742,53.96825396825397,9.945146177917366,1.5999999999999943,35.79999999999998
SOLUSDT,1.0,0.8,7.0,5.0,234.05690822187745,53.96825396825397,10.445146177917366,0.6000000000000227,34.80000000000001
SOLUSDT,1.0,0.8,7.0,6.5,234.05690822187745,53.96825396825397,9.83793030125139,0.6000000000000227,34.80000000000001
SOLUSDT,1.0,0.8,7.0,6.0,233.05690822187745,53.96825396825397,9.83793030125139,-0.39999999999997726,33.80000000000001
