symbol,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,win_pct,max_dd_r,delta_vs_stage1_r,delta_vs_base_r
XRPUSDT,2.0,1.2,6.5,6.0,221.52907394986946,44.54148471615721,10.21759685400084,9.600000000000051,-23.0
XRPUSDT,2.0,1.2,7.0,5.5,214.12907394986945,44.54148471615721,10.688221318735437,2.2000000000000455,-30.400000000000006
XRPUSDT,2.0,1.2,7.0,6.0,213.12907394986945,44.54148471615721,10.217596854000838,1.2000000000000455,-31.400000000000006
XRPUSDT,2.0,1.2,7.0,5.0,212.12907394986945,44.54148471615721,11.188221318735437,0.20000000000004547,-32.400000000000006
XRPUSDT,2.0,1.2,7.0,6.5,212.12907394986945,44.54148471615721,10.217596854000844,0.20000000000004547,-32.400000000000006
XRPUSDT,2.0,1.2,6.5,5.5,212.02907394986943,44.54148471615721,10.217596854000844,0.10000000000002274,-32.50000000000003
XRPUSDT,2.0,1.2,6.5,5.0,211.52907394986946,44.54148471615721,10.321698603424437,-0.39999999999994884,-33.0
XRPUSDT,2.0,1.2,6.0,5.5,211.32907394986944,44.54148471615721,10.217596854000831,-0.5999999999999659,-33.20000000000002
XRPUSDT,2.0,1.2,5.5,5.0,205.7290739498694,44.54148471615721,10.321698603424435,-6.200000000000017,-38.80000000000007
XRPUSDT,2.0,1.2,6.0,5.0,203.32907394986944,44.54148471615721,10.321698603424435,-8.599999999999966,-41.20000000000002
