symbol,tp_r,mfe1_r,lock1_r,total_r,delta_vs_base_r,win_pct,win_delta_pct,max_dd_r,dd_improve_r,n
XRPUSDT,8.0,1.0,0.8,174.3291,-70.2,55.9,31.88,11.5095,4.6337,229
XRPUSDT,8.0,1.0,1.0,194.5291,-50.0,55.9,31.88,9.1095,7.0337,229
XRPUSDT,8.0,1.25,0.8,176.1291,-68.4,52.84,28.82,11.5095,4.6337,229
XRPUSDT,8.0,1.25,1.0,187.5291,-57.0,52.84,28.82,9.1095,7.0337,229
XRPUSDT,8.0,1.25,1.2,199.3291,-45.2,52.84,28.82,7.7097,8.4335,229
XRPUSDT,8.0,1.5,0.8,176.1291,-68.4,51.09,27.07,11.5095,4.6337,229
XRPUSDT,8.0,1.5,1.0,186.5291,-58.0,51.09,27.07,9.1095,7.0337,229
XRPUSDT,8.0,1.5,1.2,204.1291,-40.4,51.09,27.07,7.7097,8.4335,229
XRPUSDT,8.0,1.5,1.4,195.3291,-49.2,51.09,27.07,6.8123,9.3309,229
XRPUSDT,8.0,1.75,0.8,174.3291,-70.2,48.91,24.89,15.1095,1.0337,229
XRPUSDT,8.0,1.75,1.0,190.5291,-54.0,48.91,24.89,13.1095,3.0337,229
XRPUSDT,8.0,1.75,1.2,206.7291,-37.8,48.91,24.89,11.2589,4.8843,229
XRPUSDT,8.0,1.75,1.4,196.5291,-48.0,48.91,24.89,9.9613,6.1819,229
XRPUSDT,8.0,1.75,1.6,194.3291,-50.2,48.91,24.89,8.9613,7.1819,229
XRPUSDT,8.0,2.0,0.8,185.1291,-59.4,44.54,20.52,11.0176,5.1256,229
XRPUSDT,8.0,2.0,1.0,198.5291,-46.0,44.54,20.52,10.6176,5.5256,229
XRPUSDT,8.0,2.0,1.2,211.9291,-32.6,44.54,20.52,10.2176,5.9256,229
XRPUSDT,8.0,2.0,1.4,198.9291,-45.6,44.54,20.52,9.8176,6.3256,229
XRPUSDT,8.0,2.0,1.6,193.9291,-50.6,44.54,20.52,9.6882,6.455,229
BTCUSDT,8.0,1.0,0.8,156.998,-86.4,51.53,30.67,23.191,-3.401,326
BTCUSDT,8.0,1.0,1.0,170.398,-73.0,51.53,30.67,19.991,-0.201,326
BTCUSDT,8.0,1.25,0.8,142.598,-100.8,47.85,26.99,26.258,-6.468,326
BTCUSDT,8.0,1.25,1.0,146.398,-97.0,47.85,26.99,22.458,-2.668,326
BTCUSDT,8.0,1.25,1.2,158.198,-85.2,47.85,26.99,21.0041,-1.2141,326
BTCUSDT,8.0,1.5,0.8,167.798,-75.6,46.01,25.15,28.058,-8.268,326
BTCUSDT,8.0,1.5,1.0,169.398,-74.0,46.01,25.15,24.458,-4.668,326
BTCUSDT,8.0,1.5,1.2,165.398,-78.0,46.01,25.15,21.0093,-1.2193,326
BTCUSDT,8.0,1.5,1.4,176.198,-67.2,46.01,25.15,18.8093,0.9807,326
BTCUSDT,8.0,1.75,0.8,176.798,-66.6,43.87,23.01,26.258,-6.468,326
BTCUSDT,8.0,1.75,1.0,176.398,-67.0,43.87,23.01,23.458,-3.668,326
BTCUSDT,8.0,1.75,1.2,183.998,-59.4,43.87,23.01,21.3526,-1.5626,326
BTCUSDT,8.0,1.75,1.4,185.798,-57.6,43.87,23.01,19.9526,-0.1626,326
BTCUSDT,8.0,1.75,1.6,175.998,-67.4,43.87,23.01,18.5526,1.2374,326
BTCUSDT,8.0,2.0,0.8,187.598,-55.8,42.02,21.17,25.9526,-6.1626,326
BTCUSDT,8.0,2.0,1.0,178.398,-65.0,42.02,21.17,24.7526,-4.9626,326
BTCUSDT,8.0,2.0,1.2,184.398,-59.0,42.02,21.17,23.5526,-3.7626,326
BTCUSDT,8.0,2.0,1.4,197.798,-45.6,42.02,21.17,22.8131,-3.0232,326
BTCUSDT,8.0,2.0,1.6,179.598,-63.8,42.02,21.17,21.1526,-1.3626,326
SOLUSDT,8.0,1.0,0.8,233.4569,34.2,53.97,35.24,14.6451,9.6729,315
SOLUSDT,8.0,1.0,1.0,204.2569,5.0,53.97,35.24,11.2451,13.0729,315
SOLUSDT,8.0,1.25,0.8,213.6569,14.4,50.48,31.75,16.4451,7.8729,315
SOLUSDT,8.0,1.25,1.0,196.2569,-3.0,50.48,31.75,13.2451,11.0729,315
SOLUSDT,8.0,1.25,1.2,208.4569,9.2,50.48,31.75,10.5764,13.7417,315
SOLUSDT,8.0,1.5,0.8,211.8569,12.6,47.62,28.89,18.2451,6.0729,315
SOLUSDT,8.0,1.5,1.0,192.2569,-7.0,47.62,28.89,15.2451,9.0729,315
SOLUSDT,8.0,1.5,1.2,202.2569,3.0,47.62,28.89,12.3486,11.9694,315
SOLUSDT,8.0,1.5,1.4,206.4569,7.2,47.62,28.89,9.7942,14.5239,315
SOLUSDT,8.0,1.75,0.8,201.0569,1.8,44.44,25.71,20.0451,4.2729,315
SOLUSDT,8.0,1.75,1.0,179.2569,-20.0,44.44,25.71,17.2451,7.0729,315
SOLUSDT,8.0,1.75,1.2,187.0569,-12.2,44.44,25.71,14.5486,9.7694,315
SOLUSDT,8.0,1.75,1.4,195.6569,-3.6,44.44,25.71,12.1942,12.1239,315
SOLUSDT,8.0,1.75,1.6,185.8569,-13.4,44.44,25.71,9.7381,14.58,315
SOLUSDT,8.0,2.0,0.8,208.2569,9.0,40.63,21.9,25.4451,-1.1271,315
SOLUSDT,8.0,2.0,1.0,190.2569,-9.0,40.63,21.9,23.2451,1.0729,315
SOLUSDT,8.0,2.0,1.2,187.8569,-11.4,40.63,21.9,21.1486,3.1694,315
SOLUSDT,8.0,2.0,1.4,199.8569,0.6,40.63,21.9,19.3381,4.98,315
SOLUSDT,8.0,2.0,1.6,193.0569,-6.2,40.63,21.9,17.5381,6.78,315
LINKUSDT,8.0,1.0,0.8,169.2803,20.5786,49.2,31.89,12.3597,13.7137,313
LINKUSDT,8.0,1.0,1.0,172.6803,23.9786,49.2,31.89,11.8373,14.2361,313
LINKUSDT,8.0,1.25,0.8,163.1017,14.4,46.79,29.49,13.9734,12.0999,312
LINKUSDT,8.0,1.25,1.0,164.7017,16.0,46.79,29.49,12.0126,14.0608,312
LINKUSDT,8.0,1.25,1.2,168.6803,19.9786,46.96,29.66,17.4126,8.6608,313
LINKUSDT,8.0,1.5,0.8,146.9017,-1.8,43.91,26.6,17.135,8.9384,312
LINKUSDT,8.0,1.5,1.0,146.7017,-2.0,43.91,26.6,15.335,10.7384,312
LINKUSDT,8.0,1.5,1.2,148.8803,0.1786,44.09,26.78,20.335,5.7384,313
LINKUSDT,8.0,1.5,1.4,171.0803,22.3786,44.09,26.78,18.335,7.7384,313
LINKUSDT,8.0,1.75,0.8,152.3017,3.6,42.31,25.0,19.3734,6.6999,312
LINKUSDT,8.0,1.75,1.0,143.7017,-5.0,42.31,25.0,17.335,8.7384,312
LINKUSDT,8.0,1.75,1.2,143.5017,-5.2,42.31,25.0,22.535,3.5384,312
LINKUSDT,8.0,1.75,1.4,164.3017,15.6,42.31,25.0,20.735,5.3384,312
LINKUSDT,8.0,1.75,1.6,172.3017,23.6,42.31,25.0,19.4126,6.6608,312
LINKUSDT,8.0,2.0,0.8,155.9017,7.2,41.67,24.36,19.3734,6.6999,312
LINKUSDT,8.0,2.0,1.0,146.7017,-2.0,41.67,24.36,17.335,8.7384,312
LINKUSDT,8.0,2.0,1.2,145.9017,-2.8,41.67,24.36,22.535,3.5384,312
LINKUSDT,8.0,2.0,1.4,166.1017,17.4,41.67,24.36,20.735,5.3384,312
LINKUSDT,8.0,2.0,1.6,173.5017,24.8,41.67,24.36,19.4126,6.6608,312
DOGEUSDT,8.0,1.0,0.8,120.7379,-1.8,51.9,33.81,10.037,16.5607,210
DOGEUSDT,8.0,1.0,1.0,131.5379,9.0,51.9,33.81,9.5348,17.0628,210
DOGEUSDT,8.0,1.25,0.8,118.9379,-3.6,49.52,31.43,10.037,16.5607,210
DOGEUSDT,8.0,1.25,1.0,128.5379,6.0,49.52,31.43,9.5348,17.0628,210
DOGEUSDT,8.0,1.25,1.2,118.1379,-4.4,49.52,31.43,9.5125,17.0851,210
DOGEUSDT,8.0,1.5,0.8,133.3379,10.8,47.62,29.52,10.037,16.5607,210
DOGEUSDT,8.0,1.5,1.0,134.5379,12.0,47.62,29.52,9.5348,17.0628,210
DOGEUSDT,8.0,1.5,1.2,129.7379,7.2,47.62,29.52,9.5125,17.0851,210
DOGEUSDT,8.0,1.5,1.4,132.7379,10.2,47.62,29.52,9.5125,17.0851,210
DOGEUSDT,8.0,1.75,0.8,124.3379,1.8,41.43,23.33,11.5348,15.0628,210
DOGEUSDT,8.0,1.75,1.0,122.5379,0.0,41.43,23.33,11.5348,15.0628,210
DOGEUSDT,8.0,1.75,1.2,114.7379,-7.8,41.43,23.33,11.5348,15.0628,210
DOGEUSDT,8.0,1.75,1.4,108.1379,-14.4,41.43,23.33,11.5348,15.0628,210
DOGEUSDT,8.0,1.75,1.6,115.5379,-7.0,41.43,23.33,11.5348,15.0628,210
DOGEUSDT,8.0,2.0,0.8,127.9379,5.4,38.57,20.48,15.3137,11.2839,210
DOGEUSDT,8.0,2.0,1.0,124.5379,2.0,38.57,20.48,12.1137,14.4839,210
DOGEUSDT,8.0,2.0,1.2,121.9379,-0.6,38.57,20.48,15.7137,10.8839,210
DOGEUSDT,8.0,2.0,1.4,113.5379,-9.0,38.57,20.48,12.3137,14.2839,210
DOGEUSDT,8.0,2.0,1.6,119.1379,-3.4,38.57,20.48,11.5348,15.0628,210
