hit_ms,session_day,weekly_type,daily_type,weekly_level,daily_level,weekly_hit_et,daily_hit_et
1735871100000,2025-01-02,week_high,daily_high,2.4518,2.4518,2025-01-02 21:25,2025-01-02 21:25
1740434400000,2025-02-24,week_low,daily_low,2.2822,2.4421,2025-02-24 17:00,2025-02-24 17:00
1748308800000,2025-05-26,week_low,daily_low,2.2644,2.2644,2025-05-26 21:20,2025-05-26 21:20
1748565900000,2025-05-29,week_low,daily_low,2.2244,2.2244,2025-05-29 20:45,2025-05-29 20:45
1748649900000,2025-05-30,week_low,daily_low,2.126,2.126,2025-05-30 20:05,2025-05-30 20:05
1749636900000,2025-06-10,week_high,daily_high,2.3288,2.3288,2025-06-11 06:15,2025-06-11 06:15
1750798800000,2025-06-24,week_high,daily_high,2.2157,2.1696,2025-06-24 17:00,2025-06-24 17:00
1752057900000,2025-07-08,week_high,daily_high,2.3532,2.3532,2025-07-09 06:45,2025-07-09 06:45
1754007000000,2025-07-31,week_low,daily_low,2.9959,3.0,2025-07-31 20:10,2025-07-31 20:10
1755860700000,2025-08-21,week_low,daily_low,2.8174,2.8174,2025-08-22 07:05,2025-08-22 07:05
1756501200000,2025-08-29,week_low,daily_low,2.7716,2.9357,2025-08-29 17:00,2025-08-29 17:00
1767391200000,2026-01-02,week_high,daily_high,2.0273,1.8921,2026-01-02 17:00,2026-01-02 17:00
1769847300000,2026-01-30,week_low,daily_low,1.7043,1.7043,2026-01-31 03:15,2026-01-31 03:15
1770242400000,2026-02-04,week_low,daily_low,1.5009,1.5263,2026-02-04 17:00,2026-02-04 17:00
1771895700000,2026-02-23,week_low,daily_low,1.329,1.329,2026-02-23 20:15,2026-02-23 20:15
