exit_ts,symbol,pnl_r,reason,pnl_usd,equity
2024-07-14 12:00:00+00:00,DOGEUSDT,2.967874528301887,BE,741.97,10741.97
2024-07-15 04:00:00+00:00,DOGEUSDT,-1.0204621301775147,SL,-274.04,10467.92
2024-07-18 08:00:00+00:00,DOGEUSDT,0.986693165467626,BE,258.22,10726.14
2024-07-28 00:00:00+00:00,DOGEUSDT,2.9848226765799257,BE,800.39,11526.53
2024-08-01 12:00:00+00:00,DOGEUSDT,-1.015691304347826,SL,-292.68,11233.85
2024-08-01 20:00:00+00:00,DOGEUSDT,-1.044553846153846,SL,-293.36,10940.49
2024-08-02 12:00:00+00:00,DOGEUSDT,-1.008187323943662,SL,-275.75,10664.74
2024-08-03 00:00:00+00:00,DOGEUSDT,-1.011025974025974,SL,-269.56,10395.18
2024-08-03 16:00:00+00:00,DOGEUSDT,-1.0072956896551724,SL,-261.78,10133.4
2024-08-23 20:00:00+00:00,DOGEUSDT,-1.011133445945946,SL,-256.16,9877.25
2024-08-28 08:00:00+00:00,DOGEUSDT,0.9886824427480916,BE,244.14,10121.38
2024-09-02 04:00:00+00:00,DOGEUSDT,0.9762449999999998,BE,247.02,10368.41
2024-09-07 00:00:00+00:00,DOGEUSDT,2.945514,BE,763.51,11131.91
2024-09-10 00:00:00+00:00,DOGEUSDT,2.970633962264151,BE,826.72,11958.63
2024-09-13 16:00:00+00:00,DOGEUSDT,-1.0140461883408072,SL,-303.17,11655.47
2024-09-20 00:00:00+00:00,DOGEUSDT,2.9763223880597014,BE,867.26,12522.73
2024-09-20 12:00:00+00:00,DOGEUSDT,2.9623694117647053,BE,927.42,13450.15
2024-09-21 20:00:00+00:00,DOGEUSDT,-1.074488636363637,SL,-361.3,13088.85
2024-09-25 08:00:00+00:00,DOGEUSDT,2.946512903225806,BE,964.16,14053.02
2024-09-26 12:00:00+00:00,DOGEUSDT,-1.0216745222929935,SL,-358.94,13694.07
2024-10-14 20:00:00+00:00,DOGEUSDT,-1.031819266055046,SL,-353.25,13340.83
2024-10-16 04:00:00+00:00,DOGEUSDT,-1.0414600000000005,SL,-347.35,12993.48
2024-10-22 00:00:00+00:00,DOGEUSDT,0.9930985576923077,BE,322.6,13316.08
2024-11-05 12:00:00+00:00,DOGEUSDT,-1.0294192982456143,SL,-342.7,12973.38
2024-11-06 08:00:00+00:00,DOGEUSDT,2.992598716452742,BE,970.6,13943.98
2024-11-20 00:00:00+00:00,DOGEUSDT,2.992135811247576,BE,1043.06,14987.04
