symbol,entry_ts,exit_ts,side,entry_price,stop_init,risk_price,pnl_r,reason,hold_5m_bars,hold_hours
LINKUSDT,2022-01-06 20:00:00+00:00,2022-01-07 00:25:00+00:00,SHORT,25.756,25.961,0.2049999999999983,5.462308292682927,BE,6,0.5
LINKUSDT,2022-01-07 20:00:00+00:00,2022-01-08 04:50:00+00:00,SHORT,26.551,27.328,0.777000000000001,-1.0102513513513514,SL,59,4.916666666666666
LINKUSDT,2022-01-09 20:00:00+00:00,2022-01-10 12:25:00+00:00,SHORT,27.862,28.691,0.8290000000000006,1.3899172496984336,BE,150,12.5
LINKUSDT,2022-01-18 16:00:00+00:00,2022-01-18 20:15:00+00:00,LONG,22.489,22.337,0.15200000000000102,-1.044386184210526,SL,4,0.3333333333333333
LINKUSDT,2022-01-19 04:00:00+00:00,2022-01-19 08:00:00+00:00,LONG,22.339,22.041,0.29799999999999827,-1.0224889261744967,SL,1,0.08333333333333333
LINKUSDT,2022-01-19 16:00:00+00:00,2022-01-20 21:50:00+00:00,LONG,21.946,21.204,0.7420000000000009,-1.0088730458221025,SL,311,25.916666666666664
LINKUSDT,2022-01-21 00:00:00+00:00,2022-01-21 04:00:00+00:00,LONG,20.164,20.031,0.13300000000000267,-1.0454827067669163,SL,1,0.08333333333333333
LINKUSDT,2022-01-24 04:00:00+00:00,2022-01-24 08:45:00+00:00,LONG,16.017,15.146,0.8709999999999987,-1.0055167623421355,SL,10,0.8333333333333333
LINKUSDT,2022-01-30 12:00:00+00:00,2022-01-30 18:10:00+00:00,SHORT,17.67,17.8,0.129999999999999,1.3592230769230764,BE,27,2.25
LINKUSDT,2022-02-05 04:00:00+00:00,2022-02-05 08:00:00+00:00,SHORT,17.92,17.921,0.0009999999999976694,-6.376000000012529,SL,1,0.08333333333333333
LINKUSDT,2022-02-06 04:00:00+00:00,2022-02-06 16:20:00+00:00,SHORT,17.942,18.254,0.31200000000000117,1.3827480769230769,BE,101,8.416666666666666
LINKUSDT,2022-02-07 04:00:00+00:00,2022-02-07 08:00:00+00:00,SHORT,18.469,18.546,0.07699999999999818,-1.0719571428571446,SL,1,0.08333333333333333
LINKUSDT,2022-02-12 08:00:00+00:00,2022-02-12 15:15:00+00:00,LONG,15.894,15.583,0.31099999999999994,-1.0153318327974277,SL,40,3.333333333333333
LINKUSDT,2022-02-14 04:00:00+00:00,2022-02-14 08:30:00+00:00,LONG,15.346,15.201,0.14499999999999957,1.3682496551724137,BE,7,0.5833333333333333
