symbol,entry_ts,exit_ts,side,entry_price,stop_init,risk_price,pnl_r,reason,hold_5m_bars,hold_hours
SOLUSDT,2022-01-05 20:00:00+00:00,2022-01-06 00:00:00+00:00,LONG,158.69,157.47,1.2199999999999989,-1.039022131147541,SL,1,0.08333333333333333
SOLUSDT,2022-01-08 20:00:00+00:00,2022-01-09 09:00:00+00:00,LONG,135.37,132.89,2.480000000000018,1.3836245967741982,BE,109,9.083333333333332
SOLUSDT,2022-01-21 04:00:00+00:00,2022-01-21 12:05:00+00:00,LONG,124.18,120.94,3.240000000000009,-1.0114981481481482,SL,50,4.166666666666666
SOLUSDT,2022-01-25 04:00:00+00:00,2022-01-26 19:10:00+00:00,LONG,90.03,80.7,9.329999999999998,1.3971051446945337,BE,423,35.25
SOLUSDT,2022-03-02 00:00:00+00:00,2022-03-02 04:00:00+00:00,SHORT,98.61,102.02,3.4099999999999966,-1.008675366568915,SL,1,0.08333333333333333
SOLUSDT,2022-03-07 04:00:00+00:00,2022-03-07 08:30:00+00:00,LONG,82.22,81.33,0.8900000000000006,-1.027714606741573,SL,7,0.5833333333333333
SOLUSDT,2022-03-17 00:00:00+00:00,2022-03-17 04:00:00+00:00,SHORT,87.73,87.97,0.23999999999999488,-1.1096625000000024,SL,1,0.08333333333333333
SOLUSDT,2022-03-17 12:00:00+00:00,2022-03-17 16:00:00+00:00,SHORT,87.67,89.22,1.5499999999999972,-1.0169683870967743,SL,1,0.08333333333333333
SOLUSDT,2022-03-18 20:00:00+00:00,2022-03-19 00:50:00+00:00,SHORT,91.1,92.31,1.210000000000008,-1.022586776859504,SL,11,0.9166666666666666
SOLUSDT,2022-03-19 16:00:00+00:00,2022-03-19 20:00:00+00:00,SHORT,94.03,94.27,0.23999999999999488,7.882462499999997,TP,1,0.08333333333333333
SOLUSDT,2022-03-23 16:00:00+00:00,2022-03-23 23:25:00+00:00,SHORT,95.65,96.35,0.6999999999999886,1.3590071428571504,BE,42,3.5
SOLUSDT,2022-03-24 08:00:00+00:00,2022-03-24 12:00:00+00:00,SHORT,97.07,97.6,0.5300000000000011,-1.0549452830188677,SL,1,0.08333333333333333
SOLUSDT,2022-03-26 08:00:00+00:00,2022-03-26 12:05:00+00:00,SHORT,101.2,101.47,0.269999999999996,1.2875555555555749,BE,2,0.16666666666666666
SOLUSDT,2022-03-26 16:00:00+00:00,2022-03-26 20:00:00+00:00,SHORT,101.19,101.97,0.7800000000000011,-1.0389192307692308,SL,1,0.08333333333333333
SOLUSDT,2022-03-27 20:00:00+00:00,2022-03-28 00:00:00+00:00,SHORT,103.16,103.44,0.28000000000000114,-1.1105285714285709,SL,1,0.08333333333333333
SOLUSDT,2022-03-29 04:00:00+00:00,2022-03-29 12:15:00+00:00,SHORT,109.12,113.9,4.780000000000001,-1.0068485355648535,SL,52,4.333333333333333
SOLUSDT,2022-04-05 00:00:00+00:00,2022-04-06 00:25:00+00:00,SHORT,132.11,137.88,5.769999999999982,1.3931311958405546,BE,246,20.5
SOLUSDT,2022-04-11 16:00:00+00:00,2022-04-11 20:00:00+00:00,LONG,101.36,101.13,0.23000000000000398,-1.1322086956521715,SL,1,0.08333333333333333
SOLUSDT,2022-04-20 12:00:00+00:00,2022-04-20 16:00:00+00:00,SHORT,110.35,110.92,0.5700000000000074,7.94192105263158,TP,1,0.08333333333333333
SOLUSDT,2022-05-01 00:00:00+00:00,2022-05-01 11:00:00+00:00,LONG,84.51,81.67,2.8400000000000034,1.3910728873239415,BE,85,7.083333333333333
SOLUSDT,2022-05-08 00:00:00+00:00,2022-05-08 04:00:00+00:00,LONG,78.8,77.0,1.7999999999999972,-1.0131333333333334,SL,1,0.08333333333333333
SOLUSDT,2022-05-08 16:00:00+00:00,2022-05-08 20:25:00+00:00,LONG,77.11,75.8,1.3100000000000023,-1.017658778625954,SL,6,0.5
SOLUSDT,2022-05-11 00:00:00+00:00,2022-05-11 06:45:00+00:00,LONG,66.83,63.12,3.710000000000001,-1.0054040431266846,SL,34,2.833333333333333
SOLUSDT,2022-05-14 16:00:00+00:00,2022-05-14 20:00:00+00:00,LONG,46.42,46.05,0.37000000000000455,7.9623621621621625,TP,1,0.08333333333333333
SOLUSDT,2022-05-26 12:00:00+00:00,2022-05-26 18:30:00+00:00,LONG,43.69,43.07,0.6199999999999974,1.3788596774193524,BE,31,2.583333333333333
SOLUSDT,2022-06-02 00:00:00+00:00,2022-06-02 04:00:00+00:00,LONG,40.09,39.49,0.6000000000000014,-1.0200449999999999,SL,1,0.08333333333333333
