symbol,tp_r,mfe_r,lock_r,total_r,delta_vs_tp_only,win_pct,max_dd_r,avg_hold_h,n_trades
XRPUSDT,2.0,0.5,0.0,-3.3978,-10.0,29.27,15.6571,9.71,82
XRPUSDT,2.0,0.5,0.25,-0.8978,-7.5,50.0,13.9071,9.27,82
XRPUSDT,2.0,0.5,0.5,2.1022,-4.5,50.0,12.1571,9.17,82
XRPUSDT,2.0,0.5,1.0,11.6022,5.0,50.0,9.3402,9.07,82
XRPUSDT,2.0,1.0,0.0,-3.3978,-10.0,31.71,12.6571,16.54,82
XRPUSDT,2.0,1.0,0.25,-2.3978,-9.0,45.12,11.8402,16.24,82
XRPUSDT,2.0,1.0,0.5,-2.3978,-9.0,45.12,12.8402,16.0,82
XRPUSDT,2.0,1.0,1.0,4.6022,-2.0,45.12,11.3402,14.39,82
XRPUSDT,2.0,1.5,0.0,3.6022,-3.0,37.8,9.8451,17.66,82
XRPUSDT,2.0,1.5,0.25,4.3522,-2.25,41.46,9.8451,17.46,82
XRPUSDT,2.0,1.5,0.5,3.6022,-3.0,41.46,9.8451,17.41,82
XRPUSDT,2.0,1.5,1.0,4.6022,-2.0,41.46,9.8451,15.9,82
XRPUSDT,2.0,2.0,0.0,6.6022,0.0,40.24,9.8451,18.63,82
XRPUSDT,2.0,2.0,0.25,6.6022,0.0,40.24,9.8451,18.63,82
XRPUSDT,2.0,2.0,0.5,6.6022,0.0,40.24,9.8451,18.63,82
XRPUSDT,2.0,2.0,1.0,6.6022,0.0,40.24,9.8451,18.63,82
XRPUSDT,3.0,0.5,0.0,15.6022,-9.0,26.83,13.7052,10.54,82
XRPUSDT,3.0,0.5,0.25,17.6022,-7.0,50.0,11.6571,10.05,82
XRPUSDT,3.0,0.5,0.5,20.1022,-4.5,50.0,12.1571,9.17,82
XRPUSDT,3.0,0.5,1.0,30.6022,6.0,50.0,8.3402,9.07,82
XRPUSDT,3.0,1.0,0.0,14.6022,-10.0,28.05,11.7052,17.41,82
XRPUSDT,3.0,1.0,0.25,15.3522,-9.25,45.12,10.1571,17.07,82
XRPUSDT,3.0,1.0,0.5,14.1022,-10.5,45.12,13.6571,16.0,82
XRPUSDT,3.0,1.0,1.0,22.6022,-2.0,45.12,10.3402,14.39,82
XRPUSDT,3.0,1.5,0.0,20.6022,-4.0,31.71,9.1244,22.0,82
XRPUSDT,3.0,1.5,0.25,17.1022,-7.5,41.46,7.8264,21.41,82
