symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,mfe3_r,lock3_r,resolution,cap_lock_by_mfe,total_r,delta_vs_tp_only,delta_vs_stage1,delta_vs_two_stage,win_pct,max_dd_r,avg_hold_h
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,196.7874,-38.7416,-0.7416,4.0,63.32,5.5271,4.22
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,202.7808,-32.7483,5.2517,9.9933,63.32,5.5271,4.16
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,204.9687,-30.5604,7.4396,12.1813,63.32,5.5271,4.16
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,195.7874,-39.7416,-1.7416,3.0,63.32,5.5271,4.25
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,202.4801,-33.0489,4.9511,9.6927,63.32,5.5271,4.17
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,204.6681,-30.861,7.139,11.8806,63.32,5.5271,4.17
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,218.0374,1.6394,94.6394,0.0,59.51,9.7927,3.32
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,221.5538,5.1557,98.1557,3.5164,59.51,9.7927,3.28
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,231.508,15.11,108.11,13.4706,59.51,9.7927,3.27
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,221.0374,4.6394,97.6394,3.0,59.51,9.7927,3.34
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,221.7351,5.3371,98.3371,3.6977,59.51,9.7927,3.29
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,231.8007,15.4027,108.4027,13.7633,59.51,9.7927,3.28
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,213.4592,59.2022,59.2022,2.0,59.05,8.4122,1.9
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,224.8786,70.6217,70.6217,13.4194,59.05,8.4122,1.87
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,230.1857,75.9288,75.9288,18.7266,59.05,8.4122,1.87
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,211.4592,57.2022,57.2022,0.0,59.05,8.4122,1.92
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,224.7499,70.493,70.493,13.2907,59.05,8.4122,1.88
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,230.057,75.8001,75.8001,18.5979,59.05,8.4122,1.87
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,203.7487,91.047,100.0684,0.0,55.27,9.1308,10.68
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,200.5196,87.818,96.8393,-3.2291,55.27,9.1308,10.67
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,205.2881,92.5865,101.6078,1.5394,55.27,9.1308,10.67
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,202.7487,90.047,99.0684,-1.0,55.27,9.1308,10.7
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,201.6301,88.9284,97.9498,-2.1186,55.27,9.1308,10.68
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,206.3986,93.6969,102.7183,2.6499,55.27,9.1308,10.67
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,113.0008,26.4629,29.4629,-7.0,57.62,9.9892,16.98
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,117.7952,31.2573,34.2573,-2.2057,57.62,9.9892,16.97
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,119.3936,32.8557,35.8557,-0.6072,57.62,9.9892,16.95
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,111.0008,24.4629,27.4629,-9.0,57.62,9.9892,16.98
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,116.5616,30.0237,33.0237,-3.4392,57.62,9.9892,16.97
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,118.485,31.9472,34.9472,-1.5158,57.62,9.9892,16.95
