symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,mfe3_r,lock3_r,resolution,cap_lock_by_mfe,total_r,delta_vs_tp_only,delta_vs_stage1,delta_vs_two_stage,win_pct,max_dd_r,avg_hold_h
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,5m,1,191.2508,-44.2782,-6.2782,-1.0,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,195.2508,-40.2782,-2.2782,3.0,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,5m,1,198.7429,-36.7861,1.2139,6.4921,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,201.2442,-34.2849,3.7151,8.9933,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,5m,1,202.6514,-32.8777,5.1223,10.4006,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,201.4321,-34.097,3.903,9.1813,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,5m,1,191.2508,-44.2782,-6.2782,-1.0,63.32,5.5271,4.15
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,195.2508,-40.2782,-2.2782,3.0,63.32,5.5271,4.14
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,5m,1,199.2508,-36.2782,1.7218,7.0,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,201.9436,-33.5855,4.4145,9.6927,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,5m,1,203.3508,-32.1783,5.8217,11.0999,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,202.1315,-33.3976,4.6024,9.8806,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,5m,1,195.2508,-40.2782,-2.2782,3.0,63.32,5.5271,4.17
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,5m,1,198.2508,-37.2782,0.7218,6.0,63.32,5.5271,4.16
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,5m,1,201.2508,-34.2782,3.7218,9.0,63.32,5.5271,4.15
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,5m,1,201.2508,-34.2782,3.7218,9.0,63.32,5.5271,4.14
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,5m,1,203.5219,-32.0072,5.9928,11.271,63.32,5.5271,4.14
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,5m,1,202.3026,-33.2265,4.7735,10.0517,63.32,5.5271,4.14
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,5m,1,194.2508,-41.2782,-3.2782,2.0,63.32,5.5271,4.24
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,5m,1,196.2508,-39.2782,-1.2782,4.0,63.32,5.5271,4.23
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,5m,1,198.2508,-37.2782,0.7218,6.0,63.32,5.5271,4.23
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,5m,1,197.2508,-38.2782,-0.2782,5.0,63.32,5.5271,4.16
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,5m,1,199.7508,-35.7782,2.2218,7.5,63.32,5.5271,4.16
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,5m,1,199.7394,-35.7897,2.2103,7.4886,63.32,5.5271,4.16
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,5m,1,215.0374,-1.3606,91.6394,-3.0,59.51,9.7927,3.29
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,218.0374,1.6394,94.6394,0.0,59.51,9.7927,3.27
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,5m,1,221.1419,4.7438,97.7438,3.1045,59.51,9.7927,3.26
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,221.5538,5.1557,98.1557,3.5164,59.51,9.7927,3.24
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,5m,1,227.7142,11.3162,104.3162,9.6768,59.51,9.7927,3.23
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,231.508,15.11,108.11,13.4706,59.51,9.7927,3.22
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,5m,1,219.0374,2.6394,95.6394,1.0,59.51,9.7927,3.31
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,221.0374,4.6394,97.6394,3.0,59.51,9.7927,3.3
