symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,mfe3_r,lock3_r,resolution,cap_lock_by_mfe,total_r,delta_vs_tp_only,delta_vs_stage1,delta_vs_two_stage,win_pct,max_dd_r,avg_hold_h
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,195.2508,-40.2782,-2.2782,3.0,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,201.2442,-34.2849,3.7151,8.9933,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,201.4321,-34.097,3.903,9.1813,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,195.2508,-40.2782,-2.2782,3.0,63.32,5.5271,4.14
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,201.9436,-33.5855,4.4145,9.6927,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,202.1315,-33.3976,4.6024,9.8806,63.32,5.5271,4.12
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,218.0374,1.6394,94.6394,0.0,59.51,9.7927,3.27
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,221.5538,5.1557,98.1557,3.5164,59.51,9.7927,3.24
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,231.508,15.11,108.11,13.4706,59.51,9.7927,3.22
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,221.0374,4.6394,97.6394,3.0,59.51,9.7927,3.3
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,221.7351,5.3371,98.3371,3.6977,59.51,9.7927,3.24
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,231.8007,15.4027,108.4027,13.7633,59.51,9.7927,3.23
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,213.4592,59.2022,59.2022,2.0,59.05,8.4122,1.85
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,224.8786,70.6217,70.6217,13.4194,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,230.1857,75.9288,75.9288,18.7266,59.05,8.4122,1.82
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,211.4592,57.2022,57.2022,0.0,59.05,8.4122,1.87
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,224.7499,70.493,70.493,13.2907,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,230.057,75.8001,75.8001,18.5979,59.05,8.4122,1.83
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,203.2278,90.5262,99.5475,0.0,55.27,9.1308,10.64
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,199.9988,87.2971,96.3185,-3.2291,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,204.7673,92.0656,101.087,1.5394,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,202.2278,89.5262,98.5475,-1.0,55.27,9.1308,10.65
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,201.1093,88.4076,97.429,-2.1186,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,205.8777,93.1761,102.1974,2.6499,55.27,9.1308,10.63
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,112.6205,26.0827,29.0827,-2.0,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,117.4149,30.877,33.877,2.7943,57.62,9.9892,16.92
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,119.0133,32.4754,35.4754,4.3928,57.62,9.9892,16.9
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,110.6205,24.0827,27.0827,-4.0,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,116.1813,29.6434,32.6434,1.5608,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,118.1048,31.5669,34.5669,3.4842,57.62,9.9892,16.91
