symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,delta_vs_tp_only,delta_vs_stage1,win_pct,max_dd_r,avg_hold_h
XRPUSDT,3.0,0.5,1.0,1.25,1.5,35.1022,10.5,4.5,50.0,7.3451,9.07
XRPUSDT,3.0,0.5,1.0,1.25,2.0,39.6022,15.0,9.0,50.0,6.8451,9.07
XRPUSDT,3.0,0.5,1.0,1.25,2.5,44.1022,19.5,13.5,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.25,3.0,48.6022,24.0,18.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.5,1.5,32.6022,8.0,2.0,50.0,7.3451,9.07
XRPUSDT,3.0,0.5,1.0,1.5,2.0,34.6022,10.0,4.0,50.0,6.8451,9.07
XRPUSDT,3.0,0.5,1.0,1.5,2.5,36.6022,12.0,6.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.5,3.0,38.6022,14.0,8.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.75,1.5,32.1022,7.5,1.5,50.0,7.3451,9.07
XRPUSDT,3.0,0.5,1.0,1.75,2.0,33.6022,9.0,3.0,50.0,6.8451,9.07
XRPUSDT,3.0,0.5,1.0,1.75,2.5,35.1022,10.5,4.5,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.75,3.0,36.6022,12.0,6.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,2.0,1.5,31.6022,7.0,1.0,50.0,7.3451,9.07
XRPUSDT,3.0,0.5,1.0,2.0,2.0,32.6022,8.0,2.0,50.0,6.8451,9.07
XRPUSDT,3.0,0.5,1.0,2.0,2.5,33.6022,9.0,3.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,2.0,3.0,34.6022,10.0,4.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,2.5,1.5,30.6022,6.0,0.0,50.0,8.3402,9.07
XRPUSDT,3.0,0.5,1.0,2.5,2.0,30.6022,6.0,0.0,50.0,8.3402,9.07
XRPUSDT,3.0,0.5,1.0,2.5,2.5,30.6022,6.0,0.0,50.0,8.3402,9.07
XRPUSDT,3.0,0.5,1.0,2.5,3.0,30.6022,6.0,0.0,50.0,8.3402,9.07
XRPUSDT,5.0,0.5,1.0,1.25,1.5,66.6022,12.0,2.0,50.0,4.8311,9.12
XRPUSDT,5.0,0.5,1.0,1.25,2.0,72.6022,18.0,8.0,50.0,4.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.25,2.5,78.6022,24.0,14.0,50.0,4.243,9.07
XRPUSDT,5.0,0.5,1.0,1.25,3.0,84.6022,30.0,20.0,50.0,4.243,9.07
XRPUSDT,5.0,0.5,1.0,1.5,1.5,64.1022,9.5,-0.5,50.0,5.3311,9.12
XRPUSDT,5.0,0.5,1.0,1.5,2.0,67.6022,13.0,3.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.5,2.5,71.1022,16.5,6.5,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.5,3.0,74.6022,20.0,10.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.75,1.5,63.6022,9.0,-1.0,50.0,5.3311,9.12
XRPUSDT,5.0,0.5,1.0,1.75,2.0,66.6022,12.0,2.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.75,2.5,69.6022,15.0,5.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.75,3.0,72.6022,18.0,8.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.0,1.5,63.1022,8.5,-1.5,50.0,5.3311,9.12
XRPUSDT,5.0,0.5,1.0,2.0,2.0,65.6022,11.0,1.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.0,2.5,68.1022,13.5,3.5,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.0,3.0,70.6022,16.0,6.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.5,1.5,62.1022,7.5,-2.5,50.0,5.3311,9.12
XRPUSDT,5.0,0.5,1.0,2.5,2.0,63.6022,9.0,-1.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.5,2.5,65.1022,10.5,0.5,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.5,3.0,66.6022,12.0,2.0,50.0,5.3311,9.07
XRPUSDT,8.0,0.5,1.0,1.25,1.5,88.1022,12.5,1.5,51.22,4.8311,9.66
XRPUSDT,8.0,0.5,1.0,1.25,2.0,90.6022,15.0,4.0,51.22,4.3311,9.32
XRPUSDT,8.0,0.5,1.0,1.25,2.5,99.6022,24.0,13.0,51.22,4.243,9.32
XRPUSDT,8.0,0.5,1.0,1.25,3.0,108.6022,33.0,22.0,51.22,4.243,9.27
XRPUSDT,8.0,0.5,1.0,1.5,1.5,85.6022,10.0,-1.0,51.22,5.3311,9.66
XRPUSDT,8.0,0.5,1.0,1.5,2.0,85.6022,10.0,-1.0,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,1.5,2.5,92.1022,16.5,5.5,51.22,5.3311,9.32
