symbol,chunk,chunk_start_utc,chunk_end_utc,n_trades,baseline_total_r,managed_total_r,baseline_delta_r,win_pct,max_dd_r,avg_hold_h
BTCUSDT,2022-01,2022-01-01T00:00:00+00:00,2022-02-01T00:00:00+00:00,6,2.6136210749539543,2.8136210749539616,0.20000000000000728,50.0,2.1122997238376024,2.875
BTCUSDT,2022-02,2022-02-01T00:00:00+00:00,2022-03-01T00:00:00+00:00,5,-5.187314306037407,-3.587314306037414,1.5999999999999925,20.0,3.0808173803047003,0.6333333333333333
BTCUSDT,2022-03,2022-03-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,9,8.307534703581403,10.307534703581403,2.0,77.77777777777779,1.0451362529590806,5.805555555555556
BTCUSDT,2022-04,2022-04-01T00:00:00+00:00,2022-05-01T00:00:00+00:00,9,-1.3706113833547149,-3.9706113833547287,-2.600000000000014,44.44444444444444,4.535291948445827,1.2592592592592593
BTCUSDT,2022-05,2022-05-01T00:00:00+00:00,2022-06-01T00:00:00+00:00,4,4.697574936733821,4.897574936733832,0.20000000000001172,75.0,1.0081885082137045,5.145833333333333
BTCUSDT,2022-06,2022-06-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,4,4.8128393624517445,-0.9871606375482438,-5.799999999999988,50.0,2.096887374883742,2.3125
BTCUSDT,2022-07,2022-07-01T00:00:00+00:00,2022-08-01T00:00:00+00:00,15,38.30357643880606,18.103576438806037,-20.200000000000024,73.33333333333333,3.5896640371474327,4.9
BTCUSDT,2022-08,2022-08-01T00:00:00+00:00,2022-09-01T00:00:00+00:00,5,3.6196849045384987,-0.5803150954615199,-4.200000000000019,60.0,1.5353983772997242,1.1
BTCUSDT,2022-09,2022-09-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,10,-10.303806828278926,-3.9038068282789253,6.4,40.0,2.9881438179663027,5.916666666666667
BTCUSDT,2022-10,2022-10-01T00:00:00+00:00,2022-11-01T00:00:00+00:00,5,-5.267085142545404,-2.0670851425453955,3.200000000000008,40.0,2.120008767250276,1.5
BTCUSDT,2022-11,2022-11-01T00:00:00+00:00,2022-12-01T00:00:00+00:00,4,-4.280501188435621,-2.680501188435624,1.599999999999997,25.0,2.2112213853767484,43.770833333333336
BTCUSDT,2022-12,2022-12-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,4,-4.123918741641403,-0.9239187416414115,3.1999999999999917,50.0,1.0151921540656206,9.354166666666666
BTCUSDT,2023-01,2023-01-01T00:00:00+00:00,2023-02-01T00:00:00+00:00,3,14.637211540809442,11.63721154080944,-3.0000000000000018,66.66666666666666,0.0,3.3055555555555554
BTCUSDT,2023-02,2023-02-01T00:00:00+00:00,2023-03-01T00:00:00+00:00,8,-8.747172542191967,0.45282745780804357,9.20000000000001,37.5,4.316776116632671,3.90625
BTCUSDT,2023-03,2023-03-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,5,3.84091090714407,7.040910907144068,3.1999999999999975,60.0,2.0564342373573945,10.583333333333334
BTCUSDT,2023-04,2023-04-01T00:00:00+00:00,2023-05-01T00:00:00+00:00,6,2.6983617530986344,9.098361753098642,6.4000000000000075,83.33333333333334,0.0,2.25
BTCUSDT,2023-05,2023-05-01T00:00:00+00:00,2023-06-01T00:00:00+00:00,9,26.079027326161345,12.87902732616133,-13.200000000000015,55.55555555555556,2.063534622434827,3.1296296296296293
BTCUSDT,2023-06,2023-06-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,5,-5.569293052455797,-3.9692930524557988,1.5999999999999983,20.0,2.5962035787716142,4.466666666666667
BTCUSDT,2023-07,2023-07-01T00:00:00+00:00,2023-08-01T00:00:00+00:00,5,12.711838958914232,7.111838958914248,-5.599999999999984,100.0,0.0,14.05
BTCUSDT,2023-08,2023-08-01T00:00:00+00:00,2023-09-01T00:00:00+00:00,6,2.0317075045317248,11.231707504531702,9.199999999999978,66.66666666666666,1.12856215022091,3.097222222222222
BTCUSDT,2023-09,2023-09-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,9,17.157801131038298,2.55780113103824,-14.600000000000058,55.55555555555556,2.201998367383234,8.916666666666666
BTCUSDT,2023-10,2023-10-01T00:00:00+00:00,2023-11-01T00:00:00+00:00,8,-10.981681823304886,-7.781681823304856,3.2000000000000295,25.0,7.313322032697193,1.1354166666666667
BTCUSDT,2023-11,2023-11-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,4,4.758921273747325,-1.041078726252668,-5.799999999999994,50.0,2.1929025640713107,12.020833333333334
BTCUSDT,2023-12,2023-12-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,4,4.772210861626593,-2.6277891383734095,-7.400000000000002,25.0,1.6033372773312258,9.708333333333334
BTCUSDT,2024-01,2024-01-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,8,-8.990442349066338,1.8095576509336655,10.800000000000004,50.0,2.3270550209415957,2.25
BTCUSDT,2024-02,2024-02-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,4,-4.56961894444674,-1.369618944446755,3.1999999999999846,50.0,1.2381275109170153,0.4375
