mfe1_r,lock1_r,pooled_total_r,XRPUSDT_r,BTCUSDT_r,SOLUSDT_r,LINKUSDT_r,DOGEUSDT_r
1.5,1.4,881.8022,195.3291,176.198,206.4569,171.0803,132.7379
2.0,1.4,876.2235,198.9291,197.798,199.8569,166.1017,113.5379
1.0,1.0,873.4022,194.5291,170.398,204.2569,172.6803,131.5379
2.0,0.8,864.8235,185.1291,187.598,208.2569,155.9017,127.9379
2.0,1.6,859.2235,193.9291,179.598,193.0569,173.5017,119.1379
1.0,0.8,854.8022,174.3291,156.998,233.4569,169.2803,120.7379
1.25,1.2,852.8022,199.3291,158.198,208.4569,168.6803,118.1379
2.0,1.2,852.0235,211.9291,184.398,187.8569,145.9017,121.9379
1.75,1.4,850.4235,196.5291,185.798,195.6569,164.3017,108.1379
1.5,1.2,850.4022,204.1291,165.398,202.2569,148.8803,129.7379
1.75,1.6,844.0235,194.3291,175.998,185.8569,172.3017,115.5379
2.0,1.0,838.4235,198.5291,178.398,190.2569,146.7017,124.5379
1.5,0.8,836.0235,176.1291,167.798,211.8569,146.9017,133.3379
1.75,1.2,836.0235,206.7291,183.998,187.0569,143.5017,114.7379
1.5,1.0,829.4235,186.5291,169.398,192.2569,146.7017,134.5379
1.75,0.8,828.8235,174.3291,176.798,201.0569,152.3017,124.3379
1.25,1.0,823.4235,187.5291,146.398,196.2569,164.7017,128.5379
1.25,0.8,814.4235,176.1291,142.598,213.6569,163.1017,118.9379
1.75,1.0,812.4235,190.5291,176.398,179.2569,143.7017,122.5379
