mfe1_r,lock1_r,mfe2_r,lock2_r,pooled_total_r,XRPUSDT_r,BTCUSDT_r,SOLUSDT_r,LINKUSDT_r,DOGEUSDT_r
1.5,1.4,6.0,5.5,888.9022,191.7291,178.998,218.3569,164.0803,135.7379
1.5,1.4,6.5,6.0,884.4022,197.1291,168.598,218.6569,165.4803,134.5379
1.5,1.4,6.0,5.0,873.4022,185.7291,174.998,217.8569,159.0803,135.7379
1.5,1.4,7.0,6.5,873.4022,192.0291,164.798,203.1569,176.4803,136.9379
1.5,1.4,6.5,5.0,870.4022,191.1291,160.598,216.6569,164.4803,137.5379
1.5,1.4,6.5,5.5,870.4022,192.6291,162.598,217.6569,162.4803,135.0379
1.5,1.4,7.0,6.0,868.4022,194.5291,162.798,203.6569,173.4803,133.9379
1.5,1.4,5.5,5.0,864.4022,193.5291,173.198,208.8569,159.0803,129.7379
1.5,1.4,7.0,5.0,864.4022,193.5291,161.798,201.6569,170.4803,136.9379
1.5,1.4,7.0,5.5,859.4022,193.5291,160.298,202.1569,167.4803,135.9379
