session_day,anchor_ms,anchor_et,event_type,level,hit_ms,hit_et,minutes_to_hit,anchor_close,hit_close,move_anchor_to_hit_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_candle_volume,hit_volume_zscore_24bars,forward_close,forward_return_pct,continuation_move_abs,continuation_move_pct_of_level
2025-01-01,1735768800000,2025-01-01 17:00,week_high,2.3418,1735771800000,2025-01-01 17:50,50.0,2.3142,2.3438,1.2791,0.017000000000000348,0.7259,6130018.3,1.8687,2.3223,-0.9173,0.0129,0.5509
2025-01-02,1735855200000,2025-01-02 17:00,week_high,2.4518,1735871100000,2025-01-02 21:25,265.0,2.387,2.4604,3.075,0.026100000000000012,1.0645,16897809.1,7.3569,2.4572,-0.1301,0.0139,0.5669
2025-01-03,1735941600000,2025-01-03 17:00,week_high,2.4813,1735956000000,2025-01-03 21:00,240.0,2.4613,2.504,1.7349,0.0343,1.3823,32920075.1,10.0979,2.4828,-0.8466,0.0292,1.1768
2025-01-14,1736892000000,2025-01-14 17:00,week_high,2.7012,1736904000000,2025-01-14 20:20,200.0,2.6745,2.7016,1.0133,0.024900000000000144,0.9218,19410587.7,12.4783,2.7973,3.5423,0.1333,4.9348
2025-01-15,1736978400000,2025-01-15 17:00,week_high,3.0655,1736978700000,2025-01-15 17:05,5.0,3.0371,3.0703,1.0931,0.0524,1.7093,25669827.4,0.0,3.1275,1.863,0.0739,2.4107
2025-02-13,1739484000000,2025-02-13 17:00,week_high,2.5392,1739484300000,2025-02-13 17:05,5.0,2.5053,2.534,1.1456,0.04190000000000005,1.6501,18600786.1,0.0,2.5156,-0.7261,0.0644,2.5362
2025-02-24,1740434400000,2025-02-24 17:00,week_low,2.2822,1740434400000,2025-02-24 17:00,0.0,2.3223,2.3223,0.0,0.08329999999999993,3.65,50121368.0,0.0,2.2944,-1.2014,0.0512,2.2434
2025-02-27,1740693600000,2025-02-27 17:00,week_low,2.0631,1740709200000,2025-02-27 21:20,260.0,2.1851,2.0752,-5.0295,0.016999999999999904,0.824,9154524.0,0.0226,2.0451,-1.4505,0.0395,1.9146
2025-03-10,1741640400000,2025-03-10 17:00,week_low,1.9907,1741652400000,2025-03-10 20:20,200.0,2.0637,1.9901,-3.5664,0.03389999999999982,1.7029,17878775.0,4.6733,1.9373,-2.6531,0.0955,4.7973
2025-03-14,1741986000000,2025-03-14 17:00,week_high,2.4589,1742013300000,2025-03-15 00:35,455.0,2.344,2.4658,5.1962,0.02190000000000003,0.8906,11396240.8,5.6095,2.4437,-0.8963,0.011,0.4474
