mfe1_r,lock1_r,total_r,delta_vs_base_r,win_pct,win_delta_pct,max_dd_r,dd_improve_r,avg_hold_h,score
1.25,1.25,156.7791,-30.75,52.4,20.96,7.4097,7.0315,19.01,1.9648
1.0,1.0,153.5291,-34.0,55.46,24.02,9.1095,5.3318,18.05,1.7683600000000002
1.5,1.25,151.5291,-36.0,50.66,19.21,7.4097,7.0315,24.42,1.5273
1.0,0.75,152.0291,-35.5,55.46,24.02,10.0423,4.3989,26.13,1.5067800000000002
1.75,1.25,159.0291,-28.5,48.47,17.03,10.0423,4.3989,28.04,1.15778
1.5,0.75,154.0291,-33.5,50.66,19.21,10.0423,4.3989,36.93,1.12578
1.25,0.75,148.2791,-39.25,52.4,20.96,10.0423,4.3989,29.83,1.0132800000000002
1.5,1.0,147.5291,-40.0,50.66,19.21,9.1095,5.3318,27.41,0.98736
1.25,1.0,143.5291,-44.0,52.4,20.96,9.1095,5.3318,21.57,0.9623599999999999
1.0,0.5,148.5291,-39.0,55.46,24.02,12.2923,2.1489,31.96,0.8817800000000001
1.75,1.0,157.5291,-30.0,48.47,17.03,11.7923,2.6489,34.8,0.73278
1.5,0.5,154.5291,-33.0,50.66,19.21,12.2923,2.1489,41.55,0.7007800000000001
2.0,1.25,155.2791,-32.25,44.1,12.66,10.1717,4.2696,35.29,0.5074199999999999
1.25,0.5,147.0291,-40.5,52.4,20.96,12.2923,2.1489,34.64,0.5007800000000001
2.0,1.0,157.5291,-30.0,44.1,12.66,10.9217,3.5196,42.22,0.46992
1.75,0.75,158.0291,-29.5,48.47,17.03,13.5423,0.8989,38.21,0.40778
2.0,0.75,157.5291,-30.0,44.1,12.66,11.6717,2.7696,43.71,0.31992
2.0,0.5,159.0291,-28.5,44.1,12.66,12.4217,2.0196,48.11,0.24491999999999997
1.75,0.5,160.5291,-27.0,48.47,17.03,15.2923,-0.8511,42.48,0.18278
